generation,best,average,unique_edges
0,654634.8553713082,679232.7573823273,0.8361324041811846
1,40801.00276233899,672425.0353748869,0.8314285714285714
2,40801.00276233899,672223.5759971894,0.8194425087108014
3,40801.00276233899,671573.3600834752,0.8062717770034843
4,40801.00276233899,670966.2296906634,0.7959756097560976
5,40801.00276233899,670453.1241049505,0.7852090592334495
6,39856.6113044819,663756.7924249982,0.7744250871080139
7,39856.6113044819,657090.1339442803,0.7616724738675958
8,39856.6113044819,656649.377517354,0.7503310104529617
9,39856.6113044819,656135.4602916683,0.7382229965156795
10,39856.6113044819,655947.4399026502,0.7322299651567944
11,39856.6113044819,655767.5142330771,0.7266724738675958
12,39856.6113044819,655342.3337655341,0.7139895470383275
13,39856.6113044819,648578.7007589871,0.7029094076655052
14,39856.6113044819,647976.8077496829,0.688815331010453
15,39856.6113044819,647595.5105328294,0.6798780487804879
16,39856.6113044819,647069.4403547016,0.6749128919860627
17,39856.6113044819,646862.9086048118,0.6640418118466899
18,39856.6113044819,646314.7767565895,0.6525087108013937
19,39856.6113044819,639658.5701031385,0.63897212543554
20,39856.6113044819,639156.3025572316,0.6372648083623693
21,39856.6113044819,638788.9914993667,0.6235365853658537
22,39856.6113044819,638620.4675006367,0.6108536585365854
23,39856.6113044819,637836.1784367398,0.5960104529616724
24,39856.6113044819,637501.6748935635,0.5837282229965157
25,39856.6113044819,630993.4531632903,0.5773867595818816
26,39856.6113044819,630550.0503470178,0.5734843205574913
27,39856.6113044819,630371.4048467175,0.5673693379790941
28,39856.6113044819,623180.2704880495,0.5610278745644599
29,39856.6113044819,622981.3797464562,0.5542334494773519
30,39856.6113044819,622864.3288292262,0.5485714285714286
31,39856.6113044819,622426.2565936303,0.5337456445993032
32,39856.6113044819,621942.7793410775,0.5256620209059234
33,39856.6113044819,621614.3286240675,0.517595818815331
34,39740.1721998986,615210.2657377955,0.5101045296167247
35,39740.1721998986,614834.1660373773,0.5017421602787456
36,39740.1721998986,614581.395467672,0.5026306620209059
37,39740.1721998986,608359.7143612367,0.4926829268292683
38,39740.1721998986,608135.5391104206,0.48763066202090594
39,39740.1721998986,608135.5391104206,0.48763066202090594
40,39740.1721998986,601666.7759378492,0.4809233449477352
41,39740.1721998986,601376.1452139809,0.48214285714285715
42,39740.1721998986,601106.5991388033,0.4751219512195122
43,39740.1721998986,600814.4447384664,0.4763240418118467
44,39740.1721998986,600740.4330515846,0.46421602787456445
45,39740.1721998986,600548.9121898559,0.46020905923344946
46,39740.1721998986,600163.6961255956,0.45414634146341465
47,39740.1721998986,599978.3589436306,0.43881533101045295
48,39740.1721998986,599818.7738517964,0.43473867595818816
49,39740.1721998986,599597.7516837381,0.43127177700348435
50,39740.1721998986,593142.9570764062,0.42078397212543556
51,39740.1721998986,592908.8298744317,0.4129965156794425
52,39740.1721998986,586751.6427517005,0.4059233449477352
53,39740.1721998986,586335.2834095589,0.3920557491289199
54,39740.1721998986,586025.1457013583,0.3928745644599303
55,39740.1721998986,585782.3576829125,0.39137630662020906
56,39740.1721998986,575608.7738170691,0.38182926829268293
57,39505.185275929354,565094.0791759131,0.37081881533101047
58,39505.185275929354,561864.5097073662,0.3626132404181185
59,39505.185275929354,558695.4329413909,0.3546864111498258
60,39505.185275929354,551549.6817176259,0.33933797909407665
61,39505.185275929354,539064.8269502666,0.335609756097561
62,39505.185275929354,532197.3121584922,0.32707317073170733
63,39505.185275929354,527847.4604415658,0.32634146341463416
64,39505.185275929354,524925.9495901245,0.32517421602787455
65,39505.185275929354,515672.67466876155,0.30869337979094075
66,39505.185275929354,509377.79496103944,0.29937282229965156
67,39505.185275929354,504246.0250301584,0.2900871080139373
68,39505.185275929354,498336.5353178781,0.2866724738675958
69,39505.185275929354,497912.2619098451,0.2867073170731707
70,39505.185275929354,490866.503509136,0.284198606271777
71,39505.185275929354,484479.51114459743,0.28486062717770033
72,39505.185275929354,475215.6546350297,0.2784494773519164
73,39505.185275929354,470152.7554992216,0.2799825783972125
