generation,best,average,unique_edges
0,650891.592712572,679887.0786641227,0.6179210220673635
1,650891.592712572,679638.7577813329,0.6158130081300813
2,39641.03740323465,675568.997371613,0.6027990708478513
3,39641.03740323465,675358.5556365267,0.6009698025551684
4,39641.03740323465,675302.4501163731,0.5992218350754936
5,39641.03740323465,675119.1515995415,0.5974738675958188
6,39641.03740323465,674988.6895140674,0.5954239256678281
7,39641.03740323465,674913.4330129505,0.5936236933797909
8,39641.03740323465,674874.8136438609,0.5925319396051103
9,39641.03740323465,674725.1426486581,0.5901858304297328
10,39641.03740323465,674602.8203249964,0.5881881533101045
11,39641.03740323465,674456.4384372681,0.5858304297328688
12,39641.03740323465,672245.9358141705,0.5840882694541231
13,39641.03740323465,672127.8046746058,0.58232868757259
14,39641.03740323465,672007.638192341,0.5802090592334495
15,39641.03740323465,671845.9691614893,0.5779907084785133
16,39641.03740323465,671708.9503084276,0.5762427409988385
17,39641.03740323465,671581.4838705211,0.5739895470383275
18,39641.03740323465,671479.0057500267,0.5719802555168408
19,39641.03740323465,671328.1987028827,0.5692566782810685
20,39641.03740323465,671162.7210383867,0.5673519163763067
21,39641.03740323465,671001.2794628526,0.5655691056910569
22,39641.03740323465,670832.9010315173,0.5632288037166086
23,39641.03740323465,670603.0373478532,0.5620847851335656
24,39641.03740323465,670503.2748237539,0.559506387921022
25,39641.03740323465,670443.3025210751,0.5586759581881533
26,39641.03740323465,668164.4024485755,0.5574680603948896
27,39641.03740323465,668051.7696285129,0.5555516840882695
28,39641.03740323465,652411.2389132243,0.5394947735191638
29,39641.03740323465,652249.5547750582,0.5371196283391405
30,39641.03740323465,652028.9406645152,0.5348083623693379
31,39641.03740323465,630284.6405969688,0.5195005807200929
32,39641.03740323465,628007.2197340945,0.5171835075493612
33,39641.03740323465,625826.5820328193,0.515267131242741
34,39641.03740323465,623684.4405361448,0.5125319396051103
35,39641.03740323465,623604.6112221132,0.5110801393728223
36,39641.03740323465,623554.4785948062,0.5083042973286875
37,39641.03740323465,623549.8833017589,0.5058885017421603
38,39641.03740323465,599522.7672974352,0.4922822299651568
39,39641.03740323465,599447.957184397,0.4891637630662021
40,39641.03740323465,573721.0213771886,0.47289779326364695
41,39641.03740323465,573588.303638056,0.47032520325203253
42,39641.03740323465,573469.5436888515,0.46797909407665506
43,39641.03740323465,573282.7771633093,0.46526132404181186
44,39641.03740323465,573167.8716115399,0.46219512195121953
45,39641.03740323465,573112.1656292954,0.4607026713124274
46,39641.03740323465,573049.6766301134,0.45930313588850175
47,39641.03740323465,549570.4109489287,0.4418583042973287
48,39641.03740323465,546230.6758875797,0.438472706155633
49,39641.03740323465,542618.2636923187,0.4355110336817654
50,39641.03740323465,542457.7688496663,0.43271196283391405
51,39641.03740323465,540247.0374466826,0.4291753774680604
52,39641.03740323465,538194.3668675559,0.4280255516840883
53,39641.03740323465,514434.6022955522,0.41227061556329847
54,39641.03740323465,510186.1820009501,0.4090243902439024
55,39641.03740323465,508019.2007396003,0.4070267131242741
56,39641.03740323465,483937.86651260086,0.38959349593495934
57,39641.03740323465,483800.7326716751,0.3888095238095238
58,39641.03740323465,483719.48110600957,0.3856155632984901
59,39641.03740323465,482162.0585669886,0.3859581881533101
60,39641.03740323465,479826.34945496003,0.3826422764227642
61,39641.03740323465,479722.7077952216,0.38217770034843207
62,39641.03740323465,475502.06241979956,0.3792450638792102
63,39641.03740323465,473283.23661782435,0.3802439024390244
64,39641.03740323465,470315.7543889459,0.377862950058072
65,39641.03740323465,468056.0246326192,0.3770731707317073
66,39641.03740323465,466278.86035856354,0.37468641114982576
67,39641.03740323465,466209.9801830878,0.37120789779326363
68,39641.03740323465,461979.23060174205,0.36940185830429734
69,39641.03740323465,459557.16371063254,0.3666898954703833
70,39641.03740323465,457274.7022946931,0.36334494773519166
71,39641.03740323465,457194.59508451034,0.3610801393728223
72,39641.03740323465,452991.26297447673,0.35696864111498255
73,39641.03740323465,448768.02872953395,0.3530255516840883
74,39641.03740323465,446967.7135632844,0.3505807200929152
75,39641.03740323465,444687.52447638544,0.34808943089430894
76,39641.03740323465,440488.93519967236,0.344808362369338
77,39641.03740323465,440415.80637677666,0.34371660859465736
78,39641.03740323465,436187.51236273494,0.33937862950058073
79,39641.03740323465,432749.9001029664,0.33581881533101043
80,39641.03740323465,430528.46683193254,0.33383855981416954
81,39641.03740323465,428656.60235340166,0.3340650406504065
82,39641.03740323465,426579.56080813217,0.3300987224157956
83,39641.03740323465,401248.9789487002,0.31379210220673637
84,39641.03740323465,398872.44201636495,0.3101103368176539
85,39641.03740323465,375152.204393296,0.2845586527293844
86,39641.03740323465,373415.67043117277,0.28214866434378627
87,39641.03740323465,371084.8630487362,0.2796051103368177
88,39641.03740323465,368917.7956001591,0.27656794425087106
89,39641.03740323465,367119.4823598995,0.27396051103368174
90,39641.03740323465,365702.93372212327,0.2718408826945412
91,39641.03740323465,364931.81928305526,0.2697735191637631
92,39641.03740323465,362532.6244520314,0.2688675958188153
93,39641.03740323465,358351.53834295616,0.26632984901277584
94,39641.03740323465,354193.2863850079,0.2658536585365854
95,39641.03740323465,350313.2600623388,0.26551684088269456
96,39641.03740323465,349062.817913659,0.2607839721254355
97,39641.03740323465,345257.25510717725,0.25712543554006967
98,39641.03740323465,341472.5498439204,0.25271196283391406
99,39641.03740323465,338851.7029270522,0.2493437862950058
