generation,best,average,unique_edges
0,20964.657764473308,165008.22176412627,0.16363333333333333
10,20964.657764473308,99872.58854147381,0.15586666666666665
20,20964.657764473308,93602.37739789464,0.15336666666666668
30,20964.657764473308,101827.02787966788,0.1562
40,20964.657764473308,96410.92976627065,0.15443333333333334
50,20964.657764473308,98578.7038188941,0.1543
60,20964.657764473308,93898.33819316447,0.15356666666666666
70,20919.555506385535,99571.19706301215,0.155
80,20919.555506385535,95661.36382150052,0.15366666666666667
90,20919.555506385535,93096.05207363676,0.15363333333333334
100,20919.555506385535,97251.97973422158,0.15393333333333334
110,20866.2459984831,100365.89890213635,0.15513333333333335
120,20852.280326428205,96057.27852187365,0.15506666666666666
130,20852.280326428205,99825.1413993129,0.15406666666666666
140,20852.280326428205,101358.73529844325,0.1556
150,20852.280326428205,97924.56829106394,0.1533
160,20852.280326428205,93452.82885944184,0.15343333333333334
170,20852.280326428205,91564.3630677622,0.1522
180,20750.76250368754,98174.26962248307,0.15496666666666667
190,20750.76250368754,94545.83018324885,0.15293333333333334
200,20750.76250368754,99607.93355626952,0.15543333333333334
210,20750.76250368754,92924.5390738879,0.15243333333333334
220,20750.76250368754,98416.03354121545,0.1546
230,20750.76250368754,101738.34212905627,0.1556
240,20750.76250368754,96400.59066193555,0.1546
250,20750.76250368754,99993.98382426138,0.15513333333333335
260,20750.76250368754,97137.01488908289,0.15416666666666667
270,20750.76250368754,99274.77284953784,0.1552
280,20750.76250368754,96172.92400389991,0.15373333333333333
290,20750.76250368754,100335.33809565192,0.15436666666666668
300,20750.76250368754,101479.15854822674,0.1548
310,20750.76250368754,100630.344860969,0.15476666666666666
320,20750.76250368754,99601.47413981419,0.15473333333333333
330,20750.76250368754,96212.66809585101,0.15403333333333333
340,20750.76250368754,97267.83738796851,0.15456666666666666
350,20750.76250368754,94680.21251767065,0.1533
360,20750.76250368754,92208.83438971416,0.15283333333333332
370,20750.76250368754,100062.39494806573,0.15496666666666667
380,20750.76250368754,98306.0154710852,0.15363333333333334
390,20750.76250368754,95344.62064723426,0.15346666666666667
400,20750.76250368754,94159.32736335667,0.15336666666666668
410,20750.76250368754,95122.75566920065,0.15276666666666666
420,20750.76250368754,98771.60968203677,0.1559
430,20750.76250368754,100105.07422841115,0.15576666666666666
440,20750.76250368754,97350.1087527731,0.15336666666666668
450,20750.76250368754,92899.549708439,0.15356666666666666
460,20750.76250368754,99841.07821436977,0.15583333333333332
470,20750.76250368754,96158.32315854581,0.1537
480,20750.76250368754,96435.03699121154,0.1538
490,20750.76250368754,96189.56214987535,0.15393333333333334
500,20750.76250368754,96410.25908986003,0.1543
510,20750.76250368754,99715.93055454773,0.1544
520,20750.76250368754,97013.95690435526,0.1547
530,20750.76250368754,98098.81918702088,0.155
540,20750.76250368754,91757.40494370043,0.15253333333333333
550,20750.76250368754,97678.74201767369,0.15413333333333334
560,20750.76250368754,94176.31656105128,0.15386666666666668
570,20750.76250368754,98808.6529641338,0.15496666666666667
580,20750.76250368754,91056.1066972109,0.15166666666666667
590,20750.76250368754,97579.000841452,0.15373333333333333
600,20750.76250368754,99144.38677788532,0.15496666666666667
610,20750.76250368754,96415.80655383228,0.15486666666666668
620,20750.76250368754,91978.73899935652,0.15203333333333333
630,20750.76250368754,98587.12577401691,0.15486666666666668
640,20750.76250368754,98746.17400517814,0.15473333333333333
650,20750.76250368754,95717.67042193313,0.1541
660,20750.76250368754,97756.54842985533,0.15443333333333334
670,20750.76250368754,95604.80915759943,0.15346666666666667
680,20750.76250368754,99401.73903248826,0.15423333333333333
690,20750.76250368754,97942.0678335376,0.15426666666666666
700,20750.76250368754,97948.66478455697,0.154
710,20750.76250368754,99346.55309092527,0.15546666666666667
720,20750.76250368754,98510.80397443398,0.15473333333333333
730,20750.76250368754,99116.5650772566,0.15526666666666666
740,20750.76250368754,101057.5542691126,0.15486666666666668
750,20750.76250368754,96361.25550939127,0.1541
760,20750.76250368754,100060.52466419361,0.15406666666666666
770,20750.76250368754,95893.7699478453,0.15416666666666667
780,20750.76250368754,95339.69316607133,0.1541
790,20750.76250368754,93832.51934655006,0.1521
800,20750.76250368754,98933.69676711368,0.15496666666666667
810,20750.76250368754,98474.64906305938,0.15496666666666667
820,20750.76250368754,97798.34389037124,0.1538
830,20750.76250368754,98276.67293953315,0.15446666666666667
840,20750.76250368754,99584.5343975836,0.15453333333333333
850,20750.76250368754,99589.03437328139,0.15576666666666666
860,20750.76250368754,96884.60674292778,0.15416666666666667
870,20750.76250368754,99101.9860510704,0.15493333333333334
880,20750.76250368754,95224.57801650815,0.1536
890,20750.76250368754,100047.38874470672,0.1557
900,20750.76250368754,99331.33741588508,0.1546
910,20750.76250368754,97517.6531857043,0.15416666666666667
920,20750.76250368754,99765.18218459413,0.1547
930,20750.76250368754,97765.72515075775,0.15483333333333332
940,20750.76250368754,99647.11135942812,0.15356666666666666
950,20750.76250368754,92595.89438767162,0.1532
960,20750.76250368754,96148.47581447991,0.15403333333333333
970,20750.76250368754,89366.17658742893,0.15156666666666666
980,20750.76250368754,96559.94627438614,0.15546666666666667
990,20750.76250368754,92015.10677897256,0.15313333333333334
