generation,best,average,unique_edges
0,20993.50766403839,33077.05625713082,0.17583333333333334
10,20813.270013217076,21841.764983390494,0.09125
20,20813.270013217072,21775.56093894458,0.09
30,20813.270013217072,21848.932551276008,0.09375
40,20813.270013217072,21913.834038208443,0.09208333333333334
50,20769.863119689628,21829.162039554114,0.0925
60,20769.863119689628,21725.150914898044,0.09125
70,20769.863119689628,21714.61527502311,0.09041666666666667
80,20769.863119689628,21737.96394536461,0.0925
90,20769.863119689628,21866.331192543807,0.09291666666666666
100,20769.863119689624,21795.487011050227,0.09416666666666666
110,20769.863119689624,21647.99988087366,0.095
120,20769.863119689624,21845.604381883197,0.09208333333333334
130,20769.863119689624,21705.657127251365,0.08708333333333333
140,20769.863119689624,21846.102119759034,0.09583333333333334
150,20769.863119689624,22034.545885602998,0.09666666666666666
160,20769.863119689624,21987.69700619997,0.0975
170,20769.863119689624,22047.83704815443,0.09666666666666666
180,20769.863119689624,21873.39217479005,0.09458333333333334
190,20769.863119689624,21747.279450592712,0.08708333333333333
200,20769.863119689613,21636.08693500758,0.0875
210,20769.863119689613,21869.92906894753,0.095
220,20769.863119689613,21753.337011898187,0.09583333333333334
230,20769.863119689613,21657.690620035435,0.09208333333333334
240,20769.863119689613,21971.744665265625,0.09458333333333334
250,20769.863119689613,21744.88253042637,0.08958333333333333
260,20753.866712609142,21728.705353342102,0.09125
270,20750.762503687525,21941.57929345492,0.09458333333333334
280,20750.762503687525,21679.96805264169,0.08916666666666667
290,20750.762503687525,21732.40166960016,0.09333333333333334
300,20750.762503687525,21837.284183741183,0.095
310,20750.762503687525,22048.157429942366,0.09625
320,20750.762503687525,21771.7877499806,0.09416666666666666
330,20750.762503687525,21731.729177136556,0.09125
340,20750.762503687525,21737.35528696921,0.09
350,20750.762503687525,21776.541853427872,0.09416666666666666
360,20750.762503687525,21647.626658323974,0.08666666666666667
370,20750.762503687525,21649.75779630102,0.08583333333333333
380,20750.762503687525,21701.546358730466,0.09083333333333334
390,20750.762503687525,21770.516645024327,0.09041666666666667
