generation,best,average,unique_edges
0,21105.093673227708,22290.13205906471,0.10458333333333333
10,20880.201159644515,21950.314696525995,0.09916666666666667
20,20880.201159644505,21768.807261549417,0.09
30,20880.201159644505,21765.97654682159,0.09208333333333334
40,20813.27001321709,21945.674935161736,0.09375
50,20750.76250368752,21855.44775580802,0.09416666666666666
60,20750.76250368752,21751.55272824463,0.09208333333333334
70,20750.76250368752,22014.27241364856,0.09833333333333333
80,20750.76250368752,21918.522517528185,0.09333333333333334
90,20750.76250368752,21973.523552432674,0.09583333333333334
100,20750.76250368752,21881.743095157795,0.09833333333333333
110,20750.76250368752,21826.44491507095,0.0925
120,20750.76250368752,21696.92016934021,0.08916666666666667
130,20750.76250368752,21756.124249130695,0.09
140,20750.76250368752,21683.145683335166,0.09083333333333334
150,20750.76250368752,21846.262163829564,0.09416666666666666
160,20750.76250368752,21845.32434284285,0.09083333333333334
170,20750.76250368752,21993.82102510493,0.095
180,20750.76250368752,21752.458439805927,0.09083333333333334
190,20750.76250368752,21755.53071415315,0.08916666666666667
200,20750.76250368752,21857.700940808772,0.09291666666666666
210,20750.76250368752,21768.970753535454,0.09083333333333334
220,20750.76250368752,21909.5905660494,0.10166666666666667
230,20750.76250368752,21842.37468858526,0.09333333333333334
240,20750.76250368752,21841.451707374774,0.09375
250,20750.76250368752,21742.92174023012,0.09125
260,20750.76250368752,21785.33009266287,0.09291666666666666
270,20750.76250368752,21913.36994569455,0.09541666666666666
280,20750.76250368752,21827.423400994656,0.095
290,20750.76250368752,21911.37714816509,0.0975
300,20750.76250368752,21730.75228168879,0.09208333333333334
310,20750.76250368752,21760.35801089216,0.09166666666666666
320,20750.76250368752,21771.331448395573,0.08916666666666667
330,20750.76250368752,21593.705188557655,0.09
340,20750.76250368752,21804.968606996223,0.09333333333333334
350,20750.76250368752,21782.449453472105,0.09416666666666666
360,20750.76250368752,21906.258572338396,0.09583333333333334
370,20750.76250368752,21882.29250713251,0.09125
380,20750.76250368752,21795.732627570662,0.09416666666666666
390,20750.76250368752,21669.648728617944,0.09166666666666666
