generation,best,average,unique_edges
0,21360.121796719064,33319.223787781244,0.17875
10,20916.14903826486,21847.703908262698,0.09416666666666666
20,20820.370178010264,21643.92100168744,0.09041666666666667
30,20769.86311968963,21849.595161507707,0.09666666666666666
40,20769.86311968963,21840.025595579078,0.09541666666666666
50,20769.86311968963,21741.267992665853,0.09333333333333334
60,20769.86311968963,21719.534099598866,0.09583333333333334
70,20750.76250368754,21833.586094090115,0.09541666666666666
80,20750.762503687536,21787.693433124863,0.09208333333333334
90,20750.762503687536,21933.27277145992,0.09666666666666666
100,20750.762503687536,21775.94844580546,0.09458333333333334
110,20750.762503687536,21782.26314035327,0.08916666666666667
120,20750.762503687536,21678.068977161613,0.08708333333333333
130,20750.762503687536,21895.195268796462,0.0975
140,20750.762503687536,21742.34061016717,0.08958333333333333
150,20750.762503687536,21924.746009058596,0.0975
160,20750.762503687536,21786.223885879797,0.09208333333333334
170,20750.762503687536,22028.289230605198,0.09833333333333333
180,20750.762503687536,21792.48910561843,0.09541666666666666
190,20750.762503687536,21997.759100244573,0.09958333333333333
200,20750.762503687536,21875.91907769308,0.09
210,20750.762503687536,21757.131932912886,0.09166666666666666
220,20750.762503687536,21863.155464099123,0.08833333333333333
230,20750.762503687536,21676.637617030483,0.08708333333333333
240,20750.762503687536,21870.36493672083,0.09083333333333334
250,20750.762503687536,22009.216086721553,0.09875
260,20750.762503687536,21911.119061222824,0.09416666666666666
270,20750.762503687536,21777.31402777471,0.09083333333333334
280,20750.762503687536,21692.531571307623,0.09291666666666666
290,20750.762503687536,21790.526289838,0.0925
300,20750.762503687536,21653.38468610386,0.08958333333333333
310,20750.762503687536,21737.224638222906,0.09375
320,20750.762503687536,21671.18690033,0.09041666666666667
330,20750.762503687536,21935.424414185018,0.09583333333333334
340,20750.762503687536,21712.80281415646,0.09
350,20750.762503687536,21903.33633609263,0.09333333333333334
360,20750.762503687536,21760.785511235925,0.0925
370,20750.762503687536,21790.856894255423,0.095
380,20750.762503687536,21916.615564930853,0.09583333333333334
390,20750.762503687536,21915.07514430762,0.09458333333333334
