generation,best,average,unique_edges
0,139298.52211923595,167961.65866309483,0.6529166666666667
10,134809.3438312198,152296.33320089543,0.52125
20,131897.0933280265,148722.53630788537,0.4575
30,130642.85295180691,152977.80436997273,0.53375
40,129901.20615944178,148865.8353269151,0.4741666666666667
50,129744.3144824295,148365.3905686312,0.5008333333333334
60,129223.15638063016,152450.56903142793,0.5029166666666667
70,123223.08800105022,143047.8762029724,0.44
80,123223.08800105022,144290.79891576685,0.4625
90,122768.23820943397,143121.25401233937,0.46375
100,122073.08978667532,141278.5627758633,0.47625
110,122073.08978667532,141392.1910251838,0.46041666666666664
120,122073.08978667532,149066.04999203203,0.49541666666666667
130,122073.08978667532,141456.69910738218,0.45625
140,120909.7898149208,143391.06054307971,0.46958333333333335
150,119835.6901460058,141452.6379521135,0.45958333333333334
160,118451.77765821124,143131.28100660365,0.46291666666666664
170,118451.77765821124,141475.21983547238,0.38625
180,118451.77765821124,139469.5992953386,0.415
190,118451.77765821124,139874.02738830188,0.46458333333333335
200,118108.54597348836,141884.22459347287,0.44208333333333333
210,117991.30895839786,141923.01482823314,0.43625
220,117991.30895839786,141176.26524726333,0.4066666666666667
230,115822.9164050174,142645.25910201904,0.435
240,115822.9164050174,142516.10314297903,0.44083333333333335
250,115822.9164050174,143450.20803819416,0.46041666666666664
260,115022.2464930109,145687.26654955238,0.4979166666666667
270,115022.2464930109,141839.37004369614,0.47291666666666665
280,115022.2464930109,137522.2207919016,0.43875
290,115022.2464930109,142904.04700746338,0.48625
300,115022.2464930109,140305.6213934169,0.4795833333333333
310,115022.2464930109,140554.42809872783,0.46708333333333335
320,111634.07068217536,135632.63233067462,0.44625
330,111634.07068217536,134038.38066878065,0.42375
340,111634.07068217536,141017.2025790292,0.46541666666666665
350,111634.07068217536,136014.353160887,0.4325
360,110112.61164831059,135218.12998846843,0.4379166666666667
370,110112.61164831059,136801.07087913403,0.42291666666666666
380,109609.17532141486,140823.284790218,0.45958333333333334
390,106924.13316108413,133078.7941207274,0.45166666666666666
