generation,best,average,unique_edges
0,21051.387135919198,32759.800833472782,0.17291666666666666
10,20750.762503687543,21546.828993322422,0.08625
20,20750.762503687543,21464.36026985291,0.08541666666666667
30,20750.762503687525,21601.420055371073,0.08958333333333333
40,20750.762503687525,21601.469350313168,0.08916666666666667
50,20750.762503687525,21710.92957628994,0.09291666666666666
60,20750.762503687525,21260.54711872692,0.07708333333333334
70,20750.762503687525,21550.107095208376,0.08625
80,20750.762503687525,21666.528789114458,0.09166666666666666
90,20750.762503687525,21487.86022547091,0.08458333333333333
100,20750.762503687525,21368.794489393364,0.08208333333333333
110,20750.762503687525,21547.42564892655,0.08583333333333333
120,20750.762503687525,21646.907372791527,0.08916666666666667
130,20750.762503687525,21643.960203254428,0.09208333333333334
140,20750.76250368752,21652.32631220214,0.09
150,20750.76250368752,21604.618869986192,0.08666666666666667
160,20750.76250368752,21455.39792101996,0.08833333333333333
170,20750.76250368752,21549.53040593719,0.08625
180,20750.76250368752,21487.590779782786,0.08166666666666667
190,20750.76250368752,21427.378973297073,0.08375
200,20750.76250368752,21555.121611170878,0.0875
210,20750.76250368752,21581.05756057363,0.08833333333333333
220,20750.76250368752,21601.488747015206,0.08625
230,20750.76250368752,21699.298373814676,0.09125
240,20750.76250368752,21728.329575731288,0.08916666666666667
250,20750.76250368752,21581.872925082283,0.0925
260,20750.76250368752,21496.118333994156,0.08625
270,20750.76250368752,21486.5777790577,0.08708333333333333
280,20750.76250368752,21651.527276980527,0.08958333333333333
290,20750.76250368752,21457.25334617172,0.08625
300,20750.76250368752,21630.07040545902,0.08916666666666667
310,20750.76250368752,21611.11910927484,0.09
320,20750.76250368752,21568.837601651143,0.08791666666666667
330,20750.76250368752,21784.624282946832,0.09083333333333334
340,20750.76250368752,21376.274117010205,0.085
350,20750.76250368752,21377.359868689182,0.085
360,20750.76250368752,21395.11363965556,0.08083333333333333
370,20750.76250368752,21566.35645663736,0.08458333333333333
380,20750.76250368752,21497.61896437798,0.08666666666666667
390,20750.76250368752,21598.702959146176,0.08666666666666667
