generation,best,average,unique_edges
0,153163.81201045428,166997.5888174572,0.7116666666666667
10,139459.37470200518,160064.8183387599,0.61625
20,131741.71803205746,154455.0389989481,0.57125
30,130504.30383678502,153765.7814582363,0.5145833333333333
40,127744.30887996456,153018.57377633793,0.5520833333333334
50,127744.30887996456,154745.0437045659,0.48791666666666667
60,125599.19545313419,150432.975179514,0.5370833333333334
70,122260.27684648473,151033.25203439876,0.5170833333333333
80,122260.27684648473,155601.28592511112,0.545
90,121040.6024246593,147095.55569192444,0.4820833333333333
100,121040.6024246593,152461.2427202413,0.5008333333333334
110,121040.6024246593,150243.79618175712,0.5141666666666667
120,121040.6024246593,154514.16387719775,0.5983333333333334
130,121040.6024246593,152198.25599055216,0.5220833333333333
140,121040.6024246593,153826.94093305655,0.5720833333333334
150,121040.6024246593,152807.3375169755,0.5620833333333334
160,121040.6024246593,147926.5082537264,0.465
170,120943.67436604918,150181.06926091228,0.5129166666666667
180,118666.78188190749,151534.6335096763,0.47583333333333333
190,118666.78188190749,149923.18110326168,0.5133333333333333
200,118666.78188190749,151335.7894455611,0.5245833333333333
210,118666.78188190749,148653.04647314278,0.51625
220,118666.78188190749,151055.30649184316,0.5233333333333333
230,117311.06786047267,152332.98769495825,0.5620833333333334
240,117311.06786047267,152433.98341866973,0.5645833333333333
250,116629.29176417449,148770.92572625753,0.50625
260,116629.29176417449,151802.6237956365,0.5370833333333334
270,116629.29176417449,153362.46071071553,0.5475
280,116332.41169392037,150604.038987103,0.5566666666666666
290,116332.41169392037,151363.0891141271,0.5425
300,116324.77994516192,145318.56356480773,0.47125
310,115719.17677151693,150975.43018261332,0.5166666666666667
320,115719.17677151693,148939.06468916443,0.57125
330,115719.17677151693,147759.6567396759,0.5195833333333333
340,114479.15404026282,149090.7949713137,0.53125
350,114479.15404026282,151146.8288848286,0.5595833333333333
360,111944.17436317034,148563.84917144835,0.54
370,111944.17436317034,145465.09576235863,0.50125
380,111944.17436317034,151218.66542980183,0.6208333333333333
390,111917.62850888673,151103.0319563266,0.5820833333333333
