generation,best,average,unique_edges
0,21199.250883296776,32794.24883905445,0.16958333333333334
10,20790.00065471653,21965.768559240852,0.09625
20,20753.866712609153,21935.192957626467,0.09541666666666666
30,20753.866712609153,21805.145457111288,0.09291666666666666
40,20753.866712609153,21806.013332792692,0.09125
50,20753.866712609153,21880.328356227434,0.095
60,20753.866712609153,21692.002978905446,0.08541666666666667
70,20750.762503687536,21632.88630691584,0.09166666666666666
80,20750.762503687536,21580.13727117288,0.08625
90,20750.762503687536,21680.357461277174,0.09083333333333334
100,20750.762503687536,21762.812506476203,0.09416666666666666
110,20750.762503687536,21892.141281335626,0.09125
120,20750.762503687536,21586.07632231395,0.08583333333333333
130,20750.762503687525,21789.765473868116,0.0925
140,20750.762503687525,21800.878448768006,0.08958333333333333
150,20750.762503687525,21680.77323145115,0.09083333333333334
160,20750.762503687525,21614.959247352566,0.08875
170,20750.762503687525,21652.49118907664,0.08833333333333333
180,20750.762503687525,21594.36127443818,0.08333333333333333
190,20750.762503687525,21741.110177661245,0.0925
200,20750.76250368752,21740.666396118704,0.09
210,20750.76250368752,21673.321752158226,0.09375
220,20750.76250368752,21793.327837833396,0.09166666666666666
230,20750.76250368752,21791.600137838086,0.09583333333333334
240,20750.76250368752,21890.014864202007,0.09333333333333334
250,20750.76250368752,21841.195790625374,0.095
260,20750.76250368752,21672.228517923173,0.09333333333333334
270,20750.76250368752,21795.8615219931,0.09333333333333334
280,20750.76250368752,21654.841232057337,0.08916666666666667
290,20750.76250368752,21769.14103469838,0.08958333333333333
300,20750.76250368752,21812.21498161665,0.09416666666666666
310,20750.76250368752,21925.39233890378,0.09666666666666666
320,20750.76250368752,21857.059835242402,0.09208333333333334
330,20750.76250368752,21730.224798337043,0.0925
340,20750.76250368752,21856.463024618923,0.09375
350,20750.76250368752,21922.590132547713,0.09625
360,20750.76250368752,21832.828261778355,0.09833333333333333
370,20750.76250368752,21762.786626055622,0.09416666666666666
380,20750.76250368752,21743.10529329871,0.09416666666666666
390,20750.76250368752,21771.26735629335,0.09458333333333334
