generation,best,average,unique_edges
0,21058.072371063834,33131.310075752226,0.17
10,20816.37422213871,21793.66003217863,0.09458333333333334
20,20816.37422213871,21839.263713685355,0.09625
30,20816.37422213871,21566.889546106187,0.08125
40,20805.997061797007,21751.43326636166,0.08916666666666667
50,20805.997061797007,21795.07349506969,0.09666666666666666
60,20769.86311968962,21855.414817789922,0.09416666666666666
70,20769.86311968962,21718.204225700236,0.09125
80,20753.866712609164,21756.081131639894,0.09375
90,20753.866712609164,21877.555047235914,0.0925
100,20753.866712609164,21950.264626220946,0.09291666666666666
110,20753.866712609164,21909.263905065225,0.09416666666666666
120,20753.86671260916,21694.901541511837,0.0925
130,20750.762503687536,21880.47757060286,0.095
140,20750.762503687536,21757.582043173843,0.09208333333333334
150,20750.762503687536,21537.180245487627,0.0875
160,20750.762503687536,21704.221520346422,0.09083333333333334
170,20750.762503687536,21868.341546293625,0.09458333333333334
180,20750.762503687525,21674.318474141008,0.08916666666666667
190,20750.762503687525,21863.305101989205,0.0975
200,20750.762503687525,21949.938209004216,0.09583333333333334
210,20750.762503687525,21866.206496441853,0.09291666666666666
220,20750.762503687525,21781.270029714695,0.09375
230,20750.762503687525,21680.851724646196,0.09375
240,20750.762503687525,21681.677284721794,0.09041666666666667
250,20750.762503687525,21873.81983876825,0.09708333333333333
260,20750.762503687525,21859.60827445073,0.095
270,20750.762503687525,21852.507944073168,0.0925
280,20750.762503687525,21724.889484210347,0.08916666666666667
290,20750.762503687525,21965.567923585342,0.09625
300,20750.762503687525,21904.50627698755,0.09125
310,20750.762503687525,22009.614224271023,0.10041666666666667
320,20750.762503687525,21760.25841673817,0.09291666666666666
330,20750.762503687525,21536.168938982042,0.08958333333333333
340,20750.762503687525,21852.598195492857,0.09333333333333334
350,20750.762503687525,21866.88674734002,0.09666666666666666
360,20750.762503687525,21726.541417658675,0.09083333333333334
370,20750.762503687525,21619.9633388085,0.08958333333333333
380,20750.762503687525,21883.400733506238,0.09416666666666666
390,20750.762503687525,22000.611780865733,0.09333333333333334
