generation,best,average,unique_edges
0,150094.5907655869,169424.75759075567,0.6716666666666666
10,132776.81142414614,153086.50459360538,0.4825
20,124239.76454297053,146441.49540781195,0.4558333333333333
30,124239.76454297053,144940.30911893814,0.40958333333333335
40,120831.1086071201,144601.31728220134,0.4820833333333333
50,118743.78506023112,143032.79377434214,0.44458333333333333
60,117599.58213339029,138734.54600791392,0.41
70,117599.58213339029,141386.3304513741,0.45416666666666666
80,117599.58213339029,140539.6014118565,0.4220833333333333
90,117599.58213339029,138546.7825750294,0.40791666666666665
100,115828.55443285497,141812.7124342709,0.4479166666666667
110,115828.55443285497,140838.79544350886,0.42583333333333334
120,115828.55443285497,142954.96446460023,0.46416666666666667
130,115828.55443285497,142081.83247769126,0.46125
140,115828.55443285497,141840.28629972416,0.4270833333333333
150,111850.40096916832,140860.04361666334,0.4508333333333333
160,111850.40096916832,139391.404528401,0.4266666666666667
170,111850.40096916832,137766.31574109278,0.46166666666666667
180,111850.40096916832,137180.48848971177,0.4633333333333333
190,111850.40096916832,136267.76726291367,0.4633333333333333
200,111850.40096916832,138071.9867237094,0.44666666666666666
210,111850.40096916832,137297.12297552024,0.44166666666666665
220,111850.40096916832,139025.42055425755,0.46458333333333335
230,111850.40096916832,138139.01564495137,0.44916666666666666
240,111850.40096916832,135840.41098764772,0.395
250,111850.40096916832,136259.4909516728,0.44625
260,111850.40096916832,140038.27130275543,0.4533333333333333
270,111850.40096916832,137404.14785275448,0.41208333333333336
280,110992.16961250747,139111.37641355782,0.455
290,110992.16961250747,138542.3133877431,0.4266666666666667
300,110992.16961250747,138028.01623391762,0.4483333333333333
310,106214.39100618659,139798.99220067612,0.4379166666666667
320,106214.39100618659,136557.14742807814,0.4429166666666667
330,106214.39100618659,136134.1819186799,0.45625
340,106214.39100618659,140464.47554236816,0.4354166666666667
350,106214.39100618659,138246.71268814354,0.4479166666666667
360,106214.39100618659,134050.53188766548,0.4220833333333333
370,106214.39100618659,138018.40799879192,0.44333333333333336
380,106214.39100618659,132576.7422738537,0.41125
390,106214.39100618659,133995.90983243575,0.42125
