generation,best,average,unique_edges
0,21340.39747579172,33061.86448352978,0.17666666666666667
10,20805.99706179698,21962.85761533114,0.09541666666666666
20,20805.99706179698,21643.81453175144,0.08708333333333333
30,20750.762503687543,21763.367324841005,0.09125
40,20750.762503687543,21671.709334685092,0.08958333333333333
50,20750.762503687536,21761.81424590426,0.0925
60,20750.762503687536,21767.074357768644,0.09416666666666666
70,20750.762503687536,21802.963279600433,0.09208333333333334
80,20750.762503687536,21625.87512561375,0.09041666666666667
90,20750.762503687536,21824.071628910253,0.095
100,20750.762503687536,21629.233767442576,0.09375
110,20750.762503687536,21980.312344588277,0.09625
120,20750.762503687536,21863.154476801752,0.09708333333333333
130,20750.762503687536,21836.079282507624,0.095
140,20750.762503687536,21648.55010042599,0.08958333333333333
150,21489.694115874125,54951.028353792666,0.35291666666666666
160,20914.78598812892,21904.85096538642,0.09333333333333334
170,20854.6296269567,22049.148897452786,0.09458333333333334
180,20853.827592222333,21783.706449525827,0.09208333333333334
190,20769.863119689628,21772.18104785794,0.09416666666666666
200,20750.762503687543,21691.449263867693,0.09041666666666667
210,20750.762503687543,21902.13358826538,0.09833333333333333
220,20750.762503687543,21647.90652264017,0.0875
230,20750.762503687543,21802.374220805104,0.09208333333333334
240,20750.762503687543,21925.56085503109,0.09875
250,20750.762503687543,21792.002505333865,0.09166666666666666
260,20750.762503687543,21651.10179167822,0.09083333333333334
270,20750.762503687543,21845.795988045556,0.09416666666666666
280,20750.76250368754,21828.64152166887,0.09375
290,20750.76250368754,21834.48047216054,0.09125
300,20750.76250368754,21881.037380665686,0.095
310,20750.76250368754,21933.66782441521,0.09458333333333334
320,20750.76250368754,21788.69787719034,0.09041666666666667
330,20750.76250368754,21856.723816924805,0.09708333333333333
340,20750.76250368754,21700.800391167362,0.09
350,20750.76250368754,21849.660127257546,0.09416666666666666
360,20750.76250368754,21825.86191245045,0.09791666666666667
370,20750.76250368754,21718.339630808634,0.09166666666666666
380,21626.99228016806,49915.040981442784,0.31958333333333333
390,20854.6296269567,22136.147073223055,0.10125
