generation,best,average,unique_edges
0,21281.261571878134,33224.59345198041,0.18125
10,20941.21082382817,21874.12333177016,0.09666666666666666
20,20813.27001321709,21748.83727340907,0.09083333333333334
30,20813.27001321708,21768.062292384682,0.09041666666666667
40,20813.27001321708,21929.95125208308,0.09583333333333334
50,20813.27001321708,21857.075424133214,0.09541666666666666
60,20786.896445794904,21676.76378832271,0.0875
70,20786.896445794904,21931.612151013444,0.09625
80,20750.762503687532,21920.75866675501,0.09541666666666666
90,20750.762503687532,22005.683558743764,0.09708333333333333
100,20750.762503687532,21775.358177111775,0.09208333333333334
110,20750.762503687532,21849.992938031213,0.09583333333333334
120,20750.762503687532,21815.685929638872,0.09125
130,20750.762503687532,21794.008082004468,0.09208333333333334
140,20750.762503687532,21809.506983397212,0.09291666666666666
150,20750.76250368753,21938.2691647568,0.09416666666666666
160,20750.76250368753,21855.5149544999,0.09583333333333334
170,20750.76250368753,21865.121547448234,0.09375
180,20750.76250368753,21830.262221230507,0.09583333333333334
190,20750.76250368753,21975.364996837434,0.09625
200,20750.76250368753,21793.860207631216,0.08791666666666667
210,20750.76250368753,21920.221078616905,0.09541666666666666
220,20750.76250368753,21698.987934512934,0.08958333333333333
230,20750.76250368753,21784.05317244973,0.09541666666666666
240,20750.76250368753,21894.213439716088,0.09333333333333334
250,20750.76250368753,21902.771015531816,0.09708333333333333
260,20750.76250368753,21761.957204015333,0.09333333333333334
270,20750.76250368753,21816.578373990822,0.09208333333333334
280,20750.76250368753,22056.813020750054,0.09666666666666666
290,20750.76250368753,22066.428160483312,0.09833333333333333
300,20750.76250368753,21780.129842490227,0.09333333333333334
310,20750.76250368753,22012.531175103348,0.09708333333333333
320,20750.76250368753,22002.022880092863,0.09583333333333334
330,20750.76250368753,21961.948017095212,0.09666666666666666
340,20750.76250368753,21664.141677197123,0.09083333333333334
350,20750.76250368753,21851.63425673994,0.09458333333333334
360,20750.76250368753,21756.25666124505,0.08833333333333333
370,20750.76250368753,21919.98615736743,0.09625
380,20750.76250368753,21653.496215319992,0.09291666666666666
390,20750.76250368753,21849.64178267214,0.09625
