generation,best,average,unique_edges
0,21126.351993210257,33076.0081392846,0.17083333333333334
10,20813.270013217087,22011.02573373847,0.09833333333333333
20,20805.99706179698,21790.149990505048,0.09666666666666666
30,20750.762503687525,22005.566876870977,0.09708333333333333
40,20750.762503687525,21812.881412272847,0.09375
50,20750.762503687525,21847.021000102224,0.09666666666666666
60,20750.762503687525,21963.243543232922,0.09958333333333333
70,20750.762503687525,21682.15977414021,0.09333333333333334
80,20750.762503687525,21946.626859333133,0.09208333333333334
90,20750.762503687525,21629.27944867135,0.08916666666666667
100,20750.762503687525,21825.197931863255,0.09541666666666666
110,20750.762503687525,21672.95024449674,0.09291666666666666
120,20750.762503687525,21816.986656791487,0.09291666666666666
130,20750.762503687525,21560.277774160295,0.085
140,20750.762503687525,21847.7071464574,0.09416666666666666
150,20750.762503687525,22010.302329415597,0.09625
160,20750.762503687525,21769.504247277662,0.08875
170,20750.762503687525,21799.07313384579,0.09458333333333334
180,20750.762503687525,21833.00815508074,0.09416666666666666
190,20750.762503687525,21712.960626410568,0.09375
200,20750.762503687525,21827.23380917603,0.09333333333333334
210,20750.76250368752,21833.356086618456,0.09125
220,20750.76250368752,21724.514047863067,0.09166666666666666
230,20750.76250368752,21940.44898866223,0.09541666666666666
240,20750.76250368752,21665.202100168608,0.09125
250,20750.76250368752,21591.11890031754,0.08916666666666667
260,20750.76250368752,21867.907750436294,0.09583333333333334
270,20750.76250368752,21942.792917185066,0.09625
280,20750.76250368752,21780.786335641893,0.09333333333333334
290,20750.76250368752,21822.899043842794,0.08958333333333333
300,20750.76250368752,21779.54652117981,0.09458333333333334
310,20750.76250368752,21881.556962278395,0.0975
320,20750.76250368752,21834.803920191418,0.09333333333333334
330,20750.76250368752,21600.65862285729,0.09041666666666667
340,20750.76250368752,21627.753757153492,0.08791666666666667
350,20750.76250368752,21711.1323783665,0.09083333333333334
360,20750.76250368752,21930.29066380832,0.09625
370,20750.76250368752,21753.06484049662,0.08666666666666667
380,20750.76250368752,21928.6134594147,0.09875
390,20750.76250368752,21847.174398227067,0.095
