generation,best,average,unique_edges
0,149339.80227597695,165472.14097734404,0.5464583333333334
10,137422.40473563914,158204.0664647295,0.45395833333333335
20,133883.95310786137,156618.41618957135,0.46729166666666666
30,133883.95310786137,153716.1934849867,0.455
40,133370.91059666628,156013.9120687935,0.46
50,126309.81833832758,151912.9086455751,0.4325
60,126309.81833832758,151254.8738155632,0.44
70,126309.81833832758,153443.84251934433,0.443125
80,118350.19185961466,154520.8760969329,0.443125
90,118287.87008106624,149012.13519837998,0.435625
100,118287.87008106624,149694.1808339715,0.4475
110,118287.87008106624,150888.2578414612,0.4502083333333333
120,114175.24850059835,145468.5356892046,0.4452083333333333
130,114175.24850059835,145904.38825371364,0.43041666666666667
140,114175.24850059835,144090.2566406401,0.4125
150,114175.24850059835,147870.72964650506,0.43125
160,114175.24850059835,147090.64742794153,0.44625
170,114175.24850059835,149770.00857357748,0.4422916666666667
180,114175.24850059835,145155.2087323976,0.41541666666666666
190,114175.24850059835,144276.1229048001,0.414375
200,114175.24850059835,146577.21506122788,0.435
210,114175.24850059835,146491.25626999358,0.41583333333333333
220,114175.24850059835,149384.92321194062,0.42770833333333336
230,114175.24850059835,146802.4672298069,0.42333333333333334
240,114175.24850059835,149991.5547022093,0.4295833333333333
250,112791.56500396437,144845.77855520908,0.4245833333333333
260,112791.56500396437,145963.94386202825,0.42854166666666665
270,112791.56500396437,147751.93605684608,0.435
280,112791.56500396437,145511.21849229318,0.4170833333333333
290,112791.56500396437,148025.28126253042,0.435625
300,112791.56500396437,148135.31277787438,0.43375
310,112791.56500396437,148838.0559742441,0.4625
320,111052.93557952458,148292.43579261543,0.43104166666666666
330,111052.93557952458,145461.72692547116,0.43645833333333334
340,111052.93557952458,145540.46578443306,0.426875
350,111052.93557952458,144639.62242734345,0.415625
360,111052.93557952458,147460.21767641098,0.4216666666666667
370,111052.93557952458,146066.1527890856,0.45145833333333335
380,111052.93557952458,148963.55377301213,0.451875
390,111052.93557952458,149083.34853570673,0.44
