generation,best,average,unique_edges
0,142814.12175731492,166470.0941387739,0.16443333333333332
10,21668.75601671896,141993.06596620122,0.14836666666666667
20,21565.093751849632,79207.78998274358,0.12113333333333333
30,21457.570271659897,42921.11811498034,0.0912
40,21272.802805808402,35474.8216325889,0.07846666666666667
50,21272.802805808402,32652.280626823624,0.07153333333333334
60,21272.802805808402,30890.248463494903,0.0664
70,21272.802805808402,29373.97441288791,0.06166666666666667
80,21272.802805808402,28246.833579202885,0.05703333333333333
90,21272.802805808402,27817.22014258065,0.05533333333333333
100,21272.802805808402,26927.39355335084,0.05096666666666667
110,21272.802805808402,26570.371131805332,0.0497
120,21272.802805808402,26380.878135742274,0.0484
130,21014.70743312018,26109.5617802641,0.0468
140,20964.160564109243,25591.52808885772,0.0441
150,20964.160564109243,24393.53347968452,0.0361
160,20964.160564109243,24228.13347873355,0.0348
170,20964.160564109243,23769.075989842,0.031766666666666665
180,20964.160564109243,23558.39780698294,0.030133333333333335
190,20964.160564109243,22550.06138920126,0.0212
200,20946.729798060063,22081.651133349136,0.0171
210,20946.729798060063,21937.800215448027,0.015333333333333332
220,20946.729798060063,21623.872216565655,0.0122
230,20946.729798060063,21345.573420275297,0.009066666666666667
240,20946.729798060063,21286.994786668496,0.0087
250,20946.729798060063,21278.473459659086,0.008533333333333334
260,20946.729798060063,21233.50738997347,0.008166666666666666
270,20946.729798060063,21149.211668435113,0.007066666666666666
280,20946.729798060063,21101.66606396463,0.006733333333333333
290,20750.762503687547,21096.475226948387,0.006733333333333333
300,20750.762503687547,21047.446376048654,0.0063
310,20750.762503687547,20982.700663464155,0.005266666666666667
320,20750.762503687547,20964.115651643337,0.005266666666666667
330,20750.762503687547,20963.345248178128,0.005266666666666667
340,20750.762503687547,20945.503201844964,0.0053
350,20750.762503687547,20927.590468923776,0.005333333333333333
360,20750.762503687547,20925.780785226623,0.005333333333333333
370,20750.762503687547,20924.27267646729,0.005333333333333333
380,20750.762503687547,20885.742667230366,0.004566666666666667
390,20750.762503687547,20877.9916501088,0.004333333333333333
400,20750.762503687547,20863.615282443174,0.004433333333333333
410,20750.76250368754,20862.9039555751,0.004433333333333333
420,20750.76250368754,20855.790686894376,0.004433333333333333
430,20750.76250368754,20848.677418213647,0.004433333333333333
440,20750.76250368754,20848.673134320838,0.004533333333333334
450,20750.76250368754,20827.18716395705,0.004333333333333333
460,20750.76250368754,20826.533939642475,0.004333333333333333
470,20750.76250368754,20826.443184540796,0.004366666666666666
480,20750.76250368754,20819.852838841554,0.004266666666666667
490,20750.76250368754,20812.890475202654,0.004266666666666667
500,20750.76250368754,20799.825988911154,0.004266666666666667
510,20750.76250368754,20799.743176760694,0.0045
520,20750.76250368754,20799.743176760694,0.0045
530,20750.76250368754,20792.896102042836,0.0045
540,20750.76250368754,20792.896102042836,0.0045
550,20750.76250368754,20792.30654644827,0.004533333333333334
560,20750.76250368754,20792.30654644827,0.004533333333333334
570,20750.76250368754,20779.242060156776,0.004533333333333334
580,20750.76250368754,20772.056592696455,0.004533333333333334
590,20750.76250368754,20765.50223939111,0.004533333333333334
600,20750.76250368754,20759.25287211766,0.004533333333333334
610,20750.76250368754,20754.27361965296,0.0041
620,20750.76250368754,20754.27361965296,0.0041
630,20750.76250368754,20754.27361965296,0.0041
640,20750.76250368754,20751.447683701906,0.0036666666666666666
650,20750.76250368754,20751.447683701906,0.0036666666666666666
660,20750.76250368754,20750.76250368753,0.0033333333333333335
670,20750.76250368754,20750.76250368753,0.0033333333333333335
680,20750.76250368754,20750.76250368753,0.0033333333333333335
690,20750.76250368754,20750.76250368753,0.0033333333333333335
700,20750.76250368754,20750.76250368753,0.0033333333333333335
710,20750.76250368754,20750.76250368753,0.0033333333333333335
720,20750.76250368754,20750.76250368753,0.0033333333333333335
730,20750.76250368754,20750.76250368753,0.0033333333333333335
740,20750.76250368754,20750.76250368753,0.0033333333333333335
750,20750.762503687536,20750.76250368753,0.0033333333333333335
760,20750.762503687536,20750.76250368753,0.0033333333333333335
770,20750.762503687536,20750.76250368753,0.0033333333333333335
780,20750.762503687536,20750.76250368753,0.0033333333333333335
790,20750.762503687536,20750.76250368753,0.0033333333333333335
800,20750.762503687536,20750.76250368753,0.0033333333333333335
810,20750.762503687536,20750.76250368753,0.0033333333333333335
820,20750.762503687536,20750.76250368753,0.0033333333333333335
830,20750.762503687536,20750.76250368753,0.0033333333333333335
840,20750.762503687536,20750.76250368753,0.0033333333333333335
850,20750.762503687536,20750.76250368753,0.0033333333333333335
860,20750.762503687536,20750.76250368753,0.0033333333333333335
870,20750.762503687536,20750.76250368753,0.0033333333333333335
880,20750.762503687536,20750.76250368753,0.0033333333333333335
890,20750.762503687536,20750.76250368753,0.0033333333333333335
900,20750.762503687536,20750.76250368753,0.0033333333333333335
910,20750.762503687536,20750.76250368753,0.0033333333333333335
920,20750.762503687536,20750.76250368753,0.0033333333333333335
930,20750.762503687536,20750.76250368753,0.0033333333333333335
940,20750.762503687536,20750.76250368753,0.0033333333333333335
950,20750.762503687536,20750.76250368753,0.0033333333333333335
960,20750.762503687536,20750.76250368753,0.0033333333333333335
970,20750.762503687536,20750.76250368753,0.0033333333333333335
980,20750.762503687536,20750.76250368753,0.0033333333333333335
990,20750.762503687536,20750.76250368753,0.0033333333333333335
