generation,best,average,unique_edges
0,144363.6991456558,166191.25180610115,0.16443333333333332
10,21141.856063870233,130153.80119396468,0.15313333333333334
20,21141.856063870233,66658.08596585417,0.118
30,21141.856063870233,41695.17415487777,0.08583333333333333
40,21141.856063870233,33422.45675150442,0.06376666666666667
50,21141.856063870233,29406.02350511284,0.0516
60,21141.856063870233,27081.385132622618,0.045033333333333335
70,21031.303707351457,25361.22423732425,0.037733333333333334
80,21031.303707351457,24356.176836313076,0.032466666666666665
90,20921.88615292207,23910.475864230833,0.029533333333333335
100,20921.88615292207,23620.754601600165,0.028033333333333334
110,20921.88615292207,22780.738413291732,0.022733333333333335
120,20921.88615292207,22474.586685556096,0.020733333333333333
130,20871.379094601463,22163.32449137345,0.01863333333333333
140,20871.379094601463,22045.032406120765,0.017766666666666667
150,20871.379094601463,21938.111135093655,0.016866666666666665
160,20871.379094601463,21669.044423772353,0.014266666666666667
170,20871.379094601463,21556.701681374663,0.013333333333333334
180,20871.379094601463,21433.330701965337,0.012533333333333334
190,20871.379094601463,21340.55848407989,0.0117
200,20871.379094601463,21313.2158487504,0.011566666666666666
210,20871.379094601463,21221.78820386221,0.010633333333333333
220,20871.379094601463,21182.12036896843,0.010666666666666666
230,20871.379094601463,21126.931448381336,0.0101
240,20871.379094601463,21052.27571442074,0.008966666666666666
250,20871.379094601463,21005.877195981935,0.0084
260,20871.379094601463,20993.33933384491,0.008333333333333333
270,20871.379094601463,20973.121140835585,0.0079
280,20871.379094601463,20960.484754666213,0.0077
290,20852.27847859937,20950.27265820857,0.0075
300,20769.86311968963,20935.54516019134,0.007
310,20769.86311968963,20929.36879079468,0.006866666666666667
320,20769.86311968963,20921.558405671934,0.0067666666666666665
330,20769.86311968963,20908.380207140483,0.006333333333333333
340,20769.86311968963,20892.843801337865,0.005666666666666667
350,20769.86311968963,20880.07792390837,0.0052
360,20769.86311968963,20871.87659994463,0.0045
370,20769.86311968963,20865.00252022417,0.004433333333333333
380,20769.86311968963,20858.149733285638,0.0043
390,20769.86311968963,20847.542047049817,0.0038
400,20769.86311968963,20841.62111827708,0.0037333333333333333
410,20769.86311968963,20838.91402561276,0.0037333333333333333
420,20769.86311968963,20834.17661345021,0.0037333333333333333
430,20769.86311968963,20825.78870730072,0.0038
440,20769.86311968963,20812.842127451575,0.003966666666666667
450,20769.86311968963,20802.69052996039,0.003966666666666667
460,20769.86311968963,20800.611322770557,0.0041
470,20769.86311968963,20791.907347783264,0.004233333333333334
480,20769.86311968963,20782.147833565705,0.004233333333333334
490,20769.86311968963,20777.133299040623,0.004233333333333334
500,20769.86311968963,20771.89595251925,0.004033333333333333
510,20750.762503687543,20770.416582397684,0.0039
520,20750.762503687543,20770.14186453465,0.0036666666666666666
530,20750.762503687543,20768.844420169615,0.0035
540,20750.762503687543,20768.844420169615,0.0035
550,20750.762503687543,20768.080395529527,0.0035
560,20750.762503687543,20766.616014969364,0.0035
570,20750.762503687543,20766.48867752935,0.0035
580,20750.762503687543,20765.597315449246,0.0035
590,20750.762503687543,20764.069266169074,0.0035
600,20750.762503687543,20763.55991640902,0.0035
610,20750.762503687543,20762.477548168896,0.0035
620,20750.762503687543,20762.031867128848,0.0035
630,20750.76250368754,20761.586186088796,0.0035
640,20750.76250368754,20760.376480408657,0.0035
650,20750.76250368754,20759.23044344852,0.0035
660,20750.76250368754,20758.92677452905,0.0035666666666666668
670,20750.76250368754,20758.18750294679,0.0036333333333333335
680,20750.76250368754,20756.419453467148,0.0036333333333333335
690,20750.76250368754,20752.628679627836,0.0036333333333333335
700,20750.76250368754,20751.661272298807,0.0036333333333333335
710,20750.76250368754,20751.293934659323,0.0036333333333333335
720,20750.76250368754,20750.777178368095,0.0034
730,20750.76250368754,20750.777178368095,0.0034
740,20750.76250368754,20750.76250368753,0.0033333333333333335
750,20750.76250368754,20750.76250368753,0.0033333333333333335
760,20750.76250368754,20750.76250368753,0.0033333333333333335
770,20750.76250368754,20750.76250368753,0.0033333333333333335
780,20750.76250368754,20750.76250368753,0.0033333333333333335
790,20750.76250368754,20750.76250368753,0.0033333333333333335
800,20750.76250368754,20750.76250368753,0.0033333333333333335
810,20750.76250368754,20750.76250368753,0.0033333333333333335
820,20750.76250368754,20750.76250368753,0.0033333333333333335
830,20750.76250368754,20750.76250368753,0.0033333333333333335
840,20750.76250368754,20750.76250368753,0.0033333333333333335
850,20750.76250368754,20750.76250368753,0.0033333333333333335
860,20750.76250368754,20750.76250368753,0.0033333333333333335
870,20750.76250368754,20750.76250368753,0.0033333333333333335
880,20750.76250368754,20750.76250368753,0.0033333333333333335
890,20750.76250368754,20750.76250368753,0.0033333333333333335
900,20750.76250368754,20750.76250368753,0.0033333333333333335
910,20750.76250368754,20750.76250368753,0.0033333333333333335
920,20750.76250368754,20750.76250368753,0.0033333333333333335
930,20750.76250368754,20750.76250368753,0.0033333333333333335
940,20750.76250368754,20750.76250368753,0.0033333333333333335
950,20750.76250368754,20750.76250368753,0.0033333333333333335
960,20750.76250368754,20750.76250368753,0.0033333333333333335
970,20750.76250368754,20750.76250368753,0.0033333333333333335
980,20750.76250368754,20750.76250368753,0.0033333333333333335
990,20750.76250368754,20750.76250368753,0.0033333333333333335
