generation,best,average,unique_edges
0,22202.57574630307,164027.21770128005,0.3024
10,21183.455423287443,113998.48846569854,0.215
20,21183.455423287443,66345.52636692423,0.17073333333333332
30,21183.455423287443,47950.23218784647,0.14753333333333332
40,21183.455423287443,38394.73793569527,0.1224
50,21183.455423287443,28477.575823422143,0.0766
60,21183.455423287443,26158.30008409832,0.06146666666666667
70,21183.455423287443,24192.478536921342,0.04613333333333333
80,21135.281321080067,21667.89784669238,0.019933333333333334
90,21135.281321080067,21304.91030659009,0.015666666666666666
100,20917.747572339627,21197.66832937711,0.012866666666666667
110,20917.747572339627,21148.411067470817,0.010866666666666667
120,20917.747572339627,21148.147806355977,0.011066666666666667
130,20917.747572339627,21085.27916648616,0.008666666666666666
140,20917.747572339627,21048.08006735346,0.008666666666666666
150,20917.747572339627,21046.559333964633,0.0088
160,20917.747572339627,21011.131620504915,0.0088
170,20917.747572339627,20975.47653473248,0.009
180,20917.747572339627,20945.23934847965,0.009066666666666667
190,20917.747572339627,20943.39020967438,0.009133333333333334
200,20917.747572339627,20929.04005016996,0.008933333333333333
210,20917.747572339627,20920.098454387073,0.008066666666666666
220,20913.191458208352,20920.068080292862,0.008133333333333333
230,20913.191458208352,20920.068080292862,0.008133333333333333
240,20913.191458208352,20917.656450056984,0.007266666666666667
250,20913.191458208352,20917.443831397526,0.007266666666666667
260,20913.191458208352,20917.14009045544,0.007266666666666667
270,20913.191458208352,20916.836349513356,0.007266666666666667
280,20892.48957049523,20914.900948727045,0.0076
290,20892.48957049523,20913.35509452217,0.0076
300,20892.48957049523,20913.35509452217,0.0076
310,20892.48957049523,20911.671227732542,0.0076
320,20892.48957049523,20911.671227732542,0.0076
330,20892.48957049523,20911.671227732542,0.0076
340,20892.48957049523,20908.30349415329,0.0076
350,20892.48957049523,20908.13510747433,0.0076
360,20892.48957049523,20906.4512406847,0.0076
370,20892.48957049523,20906.4512406847,0.0076
380,20892.48957049523,20903.083507105446,0.0076
390,20786.89644579491,20899.102874934935,0.007933333333333334
400,20786.89644579491,20892.764695840502,0.007533333333333334
410,20786.89644579491,20875.925360852052,0.007533333333333334
420,20786.89644579491,20875.925360852052,0.007533333333333334
430,20786.89644579491,20875.868108931005,0.0078
440,20786.89644579491,20850.747119033076,0.0078
450,20786.89644579491,20836.17323732174,0.0072
460,20786.89644579491,20835.90517569462,0.007533333333333334
470,20786.89644579491,20828.669982175048,0.0076
480,20786.89644579491,20821.630440528366,0.0076
490,20786.89644579491,20814.092259412475,0.007733333333333333
500,20786.89644579491,20792.973634472426,0.007733333333333333
510,20786.89644579491,20787.840640624283,0.007266666666666667
520,20786.89644579491,20786.89644579495,0.006666666666666667
530,20786.89644579491,20786.89644579495,0.006666666666666667
540,20786.89644579491,20786.89644579495,0.006666666666666667
550,20786.89644579491,20786.89644579495,0.006666666666666667
560,20786.89644579491,20786.89644579495,0.006666666666666667
570,20786.89644579491,20786.89644579495,0.006666666666666667
580,20786.89644579491,20786.89644579495,0.006666666666666667
590,20786.89644579491,20786.89644579495,0.006666666666666667
600,20786.89644579491,20786.89644579495,0.006666666666666667
610,20786.89644579491,20786.89644579495,0.006666666666666667
620,20786.89644579491,20786.89644579495,0.006666666666666667
630,20786.89644579491,20786.89644579495,0.006666666666666667
640,20786.89644579491,20786.89644579495,0.006666666666666667
650,20786.89644579491,20786.89644579495,0.006666666666666667
660,20786.89644579491,20786.89644579495,0.006666666666666667
670,20786.89644579491,20786.89644579495,0.006666666666666667
680,20786.89644579491,20786.89644579495,0.006666666666666667
690,20786.89644579491,20786.89644579495,0.006666666666666667
700,20786.89644579491,20786.89644579495,0.006666666666666667
710,20786.89644579491,20786.89644579495,0.006666666666666667
720,20786.89644579491,20786.89644579495,0.006666666666666667
730,20786.89644579491,20786.89644579495,0.006666666666666667
740,20786.89644579491,20786.89644579495,0.006666666666666667
750,20786.89644579491,20786.89644579495,0.006666666666666667
760,20786.89644579491,20786.89644579495,0.006666666666666667
770,20786.89644579491,20786.89644579495,0.006666666666666667
780,20786.89644579491,20786.89644579495,0.006666666666666667
790,20786.89644579491,20786.89644579495,0.006666666666666667
800,20786.89644579491,20786.89644579495,0.006666666666666667
810,20750.76250368754,20786.414659900187,0.006866666666666667
820,20750.76250368754,20786.414659900187,0.006866666666666667
830,20750.76250368754,20784.969302215894,0.006866666666666667
840,20750.76250368754,20784.969302215894,0.006866666666666667
850,20750.76250368754,20782.560372742068,0.006866666666666667
860,20750.76250368754,20782.560372742068,0.006866666666666667
870,20750.76250368754,20782.560372742068,0.006866666666666667
880,20750.76250368754,20777.74251379442,0.006866666666666667
890,20750.76250368754,20775.333584320593,0.006866666666666667
900,20750.76250368754,20765.697866425304,0.006866666666666667
910,20750.76250368754,20758.471078003833,0.006866666666666667
920,20750.76250368754,20758.471078003833,0.006866666666666667
930,20750.76250368754,20756.06214853001,0.006866666666666667
940,20750.76250368754,20753.65321905619,0.006866666666666667
950,20750.76250368754,20751.48518252975,0.006866666666666667
960,20750.76250368754,20751.48518252975,0.006866666666666667
970,20750.76250368754,20750.7625036876,0.006666666666666667
980,20750.76250368754,20750.7625036876,0.006666666666666667
990,20750.76250368754,20750.7625036876,0.006666666666666667
