generation,best,average,unique_edges
0,21378.634117084017,166651.70082888345,0.16443333333333332
10,21180.59932678678,141810.78026921063,0.15506666666666666
20,21180.59932678678,102093.8358175132,0.14543333333333333
30,21180.59932678678,69656.48983350418,0.12866666666666668
40,21180.59932678678,55157.921098372324,0.1188
50,21180.59932678678,48682.358376595184,0.1124
60,21180.59932678678,43298.311257358364,0.10426666666666666
70,21180.59932678678,40918.299806307354,0.10023333333333333
80,21180.59932678678,36303.03429373507,0.08883333333333333
90,21180.59932678678,33808.29266755913,0.0815
100,20930.832764933868,32676.965511342318,0.07743333333333334
110,20930.832764933868,31002.027476865507,0.0709
120,20930.832764933868,29625.78396972522,0.0652
130,20917.747572339627,29053.956992276435,0.06406666666666666
140,20917.747572339627,25844.173958567044,0.04803333333333333
150,20917.747572339627,25351.501138361837,0.045366666666666666
160,20917.747572339627,25061.974585190346,0.04446666666666667
170,20917.747572339627,24566.226959376447,0.0408
180,20917.747572339627,23966.531083184058,0.03643333333333333
190,20917.747572339627,23535.238416264972,0.03306666666666667
200,20917.747572339627,23279.465795217347,0.031066666666666666
210,20917.747572339627,22556.810565177995,0.023766666666666665
220,20917.747572339627,22113.443926490938,0.0189
230,20917.747572339627,21645.289803144435,0.0136
240,20917.747572339627,21166.913050993717,0.008366666666666666
250,20917.747572339627,21158.13160119055,0.0083
260,20917.747572339627,21124.77077048871,0.008033333333333333
270,20917.747572339627,21091.23059786039,0.0077
280,20917.747572339627,21064.811414580883,0.007233333333333333
290,20917.747572339627,21041.40024483646,0.0069
300,20917.747572339627,21022.3697794657,0.006233333333333333
310,20917.747572339627,20995.900444736784,0.0051333333333333335
320,20917.747572339627,20995.434580942725,0.005266666666666667
330,20917.747572339627,20977.121794000646,0.004833333333333334
340,20917.747572339627,20976.745901556547,0.004933333333333333
350,20917.747572339627,20976.202317684078,0.0051
360,20917.747572339627,20976.202317684078,0.0051
370,20917.747572339627,20967.440592535844,0.0051
380,20917.747572339627,20966.929495269298,0.0051333333333333335
390,20917.747572339627,20958.16777012107,0.0051333333333333335
400,20917.747572339627,20958.16777012107,0.0051333333333333335
410,20917.747572339627,20949.352889554222,0.005166666666666667
420,20917.747572339627,20949.352889554222,0.005166666666666667
430,20891.99168912656,20930.134119823342,0.005166666666666667
440,20891.99168912656,20917.283628284145,0.0036
450,20891.99168912656,20917.283628284145,0.0036
460,20891.99168912656,20915.98892575724,0.0036
470,20891.99168912656,20915.815838195904,0.0036
480,20891.99168912656,20914.608370286292,0.0036
490,20891.99168912656,20914.577463647795,0.003933333333333333
500,20891.99168912656,20912.68224864118,0.003533333333333333
510,20891.99168912656,20911.823719200744,0.003533333333333333
520,20891.99168912656,20911.823719200744,0.003533333333333333
530,20881.613630232256,20910.740962697673,0.003533333333333333
540,20881.613630232256,20910.740962697673,0.003533333333333333
550,20881.613630232256,20909.51983207601,0.003533333333333333
560,20881.613630232256,20908.315367339103,0.003533333333333333
570,20881.613630232256,20908.315367339103,0.003533333333333333
580,20881.613630232256,20908.315367339103,0.003533333333333333
590,20881.613630232256,20905.906437865277,0.003533333333333333
600,20881.613630232256,20903.49750839145,0.003533333333333333
610,20881.613630232256,20902.17259718084,0.003533333333333333
620,20881.613630232256,20902.17259718084,0.003533333333333333
630,20881.613630232256,20900.968132443926,0.003533333333333333
640,20881.613630232256,20897.354738233178,0.003533333333333333
650,20881.613630232256,20894.945808759352,0.003533333333333333
660,20881.613630232256,20893.741344022434,0.003533333333333333
670,20881.613630232256,20891.246561604563,0.003533333333333333
680,20881.613630232256,20890.042096867648,0.003533333333333333
690,20881.613630232256,20887.392274446436,0.003533333333333333
700,20881.613630232256,20886.18780970952,0.003533333333333333
710,20881.613630232256,20884.379850843998,0.003533333333333333
720,20881.613630232256,20884.379850843998,0.003533333333333333
730,20881.613630232256,20884.379850843998,0.003533333333333333
740,20881.613630232256,20884.379850843998,0.003533333333333333
750,20881.613630232256,20883.516274362963,0.0034333333333333334
760,20881.613630232256,20883.516274362963,0.0034333333333333334
770,20881.613630232256,20883.170339066484,0.0034333333333333334
780,20881.613630232256,20882.82440377001,0.0034333333333333334
790,20881.613630232256,20882.097939647407,0.0034333333333333334
800,20881.613630232256,20882.06334611776,0.0034333333333333334
810,20881.613630232256,20882.06334611776,0.0034333333333333334
820,20881.613630232256,20882.06334611776,0.0034333333333333334
830,20881.613630232256,20882.06334611776,0.0034333333333333334
840,20881.613630232256,20881.75200435093,0.0034333333333333334
850,20881.613630232256,20881.75200435093,0.0034333333333333334
860,20881.613630232256,20881.64822376199,0.0034333333333333334
870,20881.613630232256,20881.613630232343,0.0033333333333333335
880,20881.613630232256,20881.613630232343,0.0033333333333333335
890,20881.613630232256,20881.613630232343,0.0033333333333333335
900,20881.613630232256,20881.613630232343,0.0033333333333333335
910,20881.613630232256,20881.613630232343,0.0033333333333333335
920,20881.613630232256,20881.613630232343,0.0033333333333333335
930,20881.613630232256,20881.613630232343,0.0033333333333333335
940,20881.613630232256,20881.613630232343,0.0033333333333333335
950,20881.613630232256,20881.613630232343,0.0033333333333333335
960,20805.997061796996,20881.109519776106,0.003766666666666667
970,20805.997061796996,20879.5971884074,0.003766666666666667
980,20805.997061796996,20874.30402861693,0.003766666666666667
990,20805.997061796996,20866.742371773402,0.003766666666666667
