generation,best,average,unique_edges
0,30258.682188517516,59708.77165627851,0.12535
10,29888.02078815561,31003.70671804924,0.03175
20,29673.22885582202,30934.557804210068,0.0318
30,29646.363763844074,30755.74915369093,0.031
40,29637.812116495923,30861.26154006908,0.0319
50,29563.598240014057,30778.215839711007,0.03205
60,29563.598240014057,30814.421480311543,0.03135
70,29563.598240014057,30879.103074276256,0.03155
80,29553.678587258717,30912.793827117443,0.03225
90,29553.678587258713,30804.77704923748,0.03175
100,29553.678587258713,30660.258125413115,0.0308
110,29553.678587258713,30649.484331773805,0.03075
120,29553.678587258713,30814.54898224761,0.0312
130,29553.678587258713,30805.708983955825,0.03125
140,29553.678587258713,30564.17644105557,0.0302
150,29553.678587258713,30738.042086111527,0.0312
160,29553.678587258713,30702.012958762018,0.0308
170,29553.678587258713,30864.736948940965,0.0316
180,29529.319292285785,30385.628829343263,0.02865
190,29529.319292285785,30704.437487123316,0.03125
200,29529.319292285785,30724.73246514348,0.03065
210,29529.319292285785,30901.30590025471,0.0314
220,29529.319292285785,30672.768239038465,0.0304
230,29483.429222914616,30718.380703291306,0.0312
240,29483.429222914616,30687.00565407799,0.0308
250,29483.429222914616,30769.231880409854,0.0309
260,29483.429222914616,30752.281861995794,0.03185
270,29483.429222914616,30789.758671582647,0.0315
280,29483.429222914616,30695.180921642903,0.0307
290,29483.429222914616,30522.390017328285,0.0304
300,29483.429222914616,30763.90123343779,0.03145
310,29483.429222914616,30616.81445179109,0.0305
320,29483.429222914616,30769.567283092547,0.03185
330,29483.429222914616,30908.556919102546,0.0318
340,29483.429222914616,30773.18300263637,0.03135
350,29483.429222914616,30762.05098628418,0.03105
360,29483.429222914616,30680.071764459834,0.0304
370,29483.429222914616,30697.137955100112,0.03135
380,29483.429222914616,30603.629101354945,0.0316
390,29483.429222914616,30776.774007452248,0.0316
400,29483.429222914616,30868.656977055092,0.03145
410,29483.429222914616,30804.994474011983,0.0314
420,29483.429222914616,30782.915475252255,0.03155
430,29483.429222914616,30590.909384863196,0.03025
440,29483.429222914616,30942.00817568422,0.0325
450,29483.429222914616,30729.301283619247,0.0311
460,29483.429222914616,30826.79523246076,0.0311
470,29483.429222914616,30746.277251606753,0.0313
480,29475.252774625616,30733.663283217826,0.0316
490,29475.252774625616,30822.292312385463,0.03185
500,29475.252774625616,30908.738787251463,0.0321
510,29465.333121870273,30786.615197743522,0.0322
520,29450.89347965269,30881.192122244458,0.03175
530,29450.89347965269,30561.625048632097,0.0298
540,29450.89347965269,30734.0164694369,0.0306
550,29450.893479652685,30711.859098272304,0.0305
560,29450.893479652674,30745.34236769506,0.0316
570,29450.893479652674,30783.488031989018,0.0311
580,29450.893479652674,30782.855657260618,0.0315
590,29450.893479652674,30737.282742937092,0.03115
600,29450.893479652674,30664.25564637459,0.03175
610,29450.893479652674,30761.731248711436,0.03085
620,29450.893479652674,30638.094418974575,0.031
630,29450.893479652674,30597.50549373671,0.0302
640,29450.893479652674,30621.88360059695,0.0307
650,29450.893479652674,30679.04996668507,0.03095
660,29450.893479652674,30787.029313406412,0.0314
670,29450.893479652674,30693.714336193632,0.0299
680,29450.893479652674,30842.916587903343,0.03205
690,29450.893479652674,30813.308517202197,0.0317
700,29450.893479652674,30709.042019872973,0.03065
710,29450.893479652674,30757.033645620442,0.03115
720,29450.893479652674,30850.451295953688,0.03175
730,29450.893479652674,30524.414647788974,0.02985
740,29450.893479652674,30731.77311094466,0.0308
750,29450.893479652674,30803.790524321957,0.03205
760,29440.973826897334,30578.932774650213,0.0305
770,29440.973826897334,30703.19974281634,0.03095
780,29440.973826897334,30622.458088168674,0.0303
790,29440.973826897334,30644.035794620668,0.02995
800,29440.973826897334,30697.631325557257,0.0302
810,29440.973826897334,30684.14455544661,0.03055
820,29440.973826897334,30946.78628982721,0.03185
830,29440.973826897334,30906.74450616219,0.03205
840,29440.973826897334,30764.163839130626,0.03075
850,29440.973826897334,30779.161157636205,0.03145
860,29440.973826897334,30778.45884709664,0.03165
870,29440.973826897334,30808.655876731966,0.0315
880,29440.973826897334,30490.7143192336,0.02895
890,29440.973826897334,30752.197235611056,0.03135
900,29440.973826897334,30782.831479123073,0.03145
910,29440.973826897334,30715.13400442527,0.03085
920,29440.973826897334,30659.260581734135,0.03005
930,29440.973826897334,30687.90452540835,0.0301
940,29440.973826897334,30422.573366645887,0.02835
950,29440.973826897334,30826.637223826056,0.0309
960,29440.973826897334,30792.83416898011,0.03155
970,29440.973826897334,30720.368751760954,0.031
980,29440.973826897334,30846.280730018556,0.0313
990,29440.973826897334,30797.688933546367,0.03145
