generation,best,average,unique_edges
0,30698.46267156993,323882.803787506,0.16381666666666667
10,30457.929559385884,212581.24550326314,0.15539166666666668
20,30232.663334115972,208312.0710378055,0.1555
30,30232.663334115972,201516.89070973473,0.154525
40,30232.663334115972,216371.76669026888,0.156225
50,30232.663334115972,199151.65746156345,0.1532
60,30227.042977584733,198514.7185588821,0.15369166666666667
70,30227.042977584733,206660.95010459967,0.15468333333333334
80,30227.042977584733,209034.15675512093,0.15481666666666666
90,30227.042977584733,209419.75692996706,0.155375
100,30227.042977584733,216759.25146746935,0.15613333333333335
110,30227.042977584733,207482.91624682472,0.15470833333333334
120,30227.042977584733,209181.24262859,0.155175
130,30227.042977584733,213771.6010360051,0.15568333333333334
140,30227.042977584733,207609.9870089339,0.15449166666666667
150,30227.042977584733,202798.60103255333,0.15394166666666667
160,30227.042977584733,203616.49766961343,0.15421666666666667
170,30227.042977584733,208983.62113994965,0.15475
180,30035.587082071135,212876.10915512548,0.15574166666666667
190,30035.587082071135,205314.02282093305,0.15495833333333334
200,30035.587082071135,212370.97080621403,0.15556666666666666
210,30035.587082071135,201016.82837558875,0.15388333333333334
220,30035.587082071135,209045.29310035807,0.15540833333333334
230,30035.587082071135,203755.37130461555,0.154175
240,30035.587082071135,206472.54244238193,0.155
250,30035.587082071135,197553.47554273185,0.15318333333333334
260,30035.587082071135,197669.93837162998,0.15319166666666667
270,30035.587082071135,200801.9859178854,0.1539
280,30035.587082071135,203835.52394760473,0.1546
290,30035.587082071135,202974.42309425207,0.15404166666666666
300,30035.587082071135,204756.44408133917,0.15435
310,30035.587082071135,203974.44159707587,0.15459166666666666
320,30035.587082071135,205488.8704854073,0.15419166666666667
330,30035.587082071135,203803.0920866367,0.15464166666666668
340,30035.587082071135,209439.1031542821,0.15449166666666667
350,30035.587082071135,204345.72716483992,0.15478333333333333
360,30035.587082071135,215986.72975056779,0.15575833333333333
370,30035.587082071135,214854.5642181173,0.15580833333333333
380,30035.587082071135,199919.3909971423,0.1539
390,30035.587082071135,209507.75574830954,0.15514166666666668
400,30035.587082071135,202397.2425808455,0.1547
410,30035.587082071135,206397.09488354842,0.154725
420,30035.587082071135,207052.18733334384,0.15545833333333334
430,30035.587082071135,203774.8043880255,0.15503333333333333
440,30035.587082071135,191772.73588478524,0.153175
450,30035.587082071135,200896.32151482548,0.15339166666666668
460,30035.587082071135,203799.93996803393,0.15418333333333334
470,30035.587082071135,210897.9461773873,0.15480833333333333
480,30035.587082071135,204694.56091112373,0.154475
490,30035.587082071135,210433.0388990483,0.15509166666666666
500,30035.587082071135,205530.6952401385,0.15488333333333335
510,30035.587082071135,211491.52946593388,0.155425
520,30035.587082071135,207698.96717470005,0.15503333333333333
530,30035.587082071135,204063.84664559903,0.15371666666666667
540,30035.587082071135,198604.84046384075,0.15359166666666665
550,30035.587082071135,210938.7675131461,0.15465833333333334
560,30035.587082071135,204282.649514231,0.15455
570,30035.587082071135,203681.31581107056,0.15369166666666667
580,30035.587082071135,201425.51299310196,0.154075
590,30035.587082071135,197320.42428324922,0.15285
600,30035.587082071135,198684.76584276554,0.15454166666666666
610,30035.587082071135,195965.40889205164,0.15348333333333333
620,30035.587082071135,209036.3888337756,0.15449166666666667
630,30035.587082071135,216720.46442806433,0.15593333333333334
640,30035.587082071135,207414.59906100744,0.15489166666666668
650,30035.587082071135,210176.45911621323,0.15525833333333333
660,30035.587082071135,204065.3290171194,0.15431666666666666
670,30035.587082071135,209053.0657805859,0.15503333333333333
680,30035.587082071135,207116.35001286562,0.15495
690,30035.587082071135,212918.67013536688,0.15485833333333332
700,30035.587082071135,208127.83901056825,0.15455833333333333
710,30035.587082071135,208320.29173008216,0.15498333333333333
720,30035.587082071135,205633.46602471656,0.1544
730,30035.587082071135,207335.41319466068,0.15465833333333334
740,30035.587082071135,211315.85294856867,0.15481666666666666
750,30035.587082071135,210866.67715031328,0.15458333333333332
760,30035.587082071135,204299.24607120905,0.154275
770,30035.587082071135,211187.43878137748,0.15565833333333334
780,30035.587082071135,204608.95120212564,0.15499166666666667
790,30035.587082071135,196864.2710925913,0.15343333333333334
800,30035.587082071135,202400.9008741224,0.15404166666666666
810,30035.587082071135,205349.85036429638,0.15426666666666666
820,30035.587082071135,191868.5373091353,0.15253333333333333
830,30035.587082071135,213684.44647794726,0.15566666666666668
840,30035.587082071135,210604.7807363741,0.15475
850,30035.587082071135,208053.27787338613,0.155325
860,30035.587082071135,194762.0967755204,0.1533
870,30035.587082071135,203547.30014386273,0.154975
880,30035.587082071135,207959.95906183086,0.15484166666666666
890,30035.587082071135,206389.33243744966,0.15518333333333334
900,30035.587082071135,202548.90436396122,0.1549
910,30035.587082071135,204876.75545548563,0.15523333333333333
920,30035.587082071135,213867.75027516022,0.154775
930,30035.587082071135,204763.76651734707,0.153975
940,30035.587082071135,209348.43780966126,0.155075
950,30035.587082071135,198863.05945218532,0.15415833333333334
960,30035.587082071135,204668.69820533047,0.15474166666666667
970,30035.587082071135,218459.894394262,0.15659166666666666
980,30035.587082071135,209414.09103939027,0.15485
990,30035.587082071135,212003.5352963249,0.15515833333333334
