generation,best,average,unique_edges
0,296555.10448440915,326830.2139307457,0.2956166666666667
10,283579.1226431554,314106.93138407666,0.2708333333333333
20,277308.5065543752,312144.46829206444,0.26986666666666664
30,274661.311962946,308769.79146842886,0.26643333333333336
40,265319.3367847985,299900.7289091819,0.24421666666666667
50,263526.08660062123,303414.31604664813,0.24236666666666667
60,259898.3505587589,301797.01502946345,0.24946666666666667
70,256717.46381185358,305346.2932080953,0.2576
80,252144.37512918204,297310.397763458,0.2471
90,252144.37512918204,300858.82998892514,0.24963333333333335
100,252144.37512918204,301942.6948157939,0.24926666666666666
110,252144.37512918204,298650.24688003946,0.24695
120,246981.99531699833,295407.20036796393,0.24128333333333332
130,246981.99531699833,293873.37543960934,0.24343333333333333
140,246634.23468539296,294664.8182851586,0.24636666666666668
150,244592.84921150893,301941.66595700406,0.2541333333333333
160,244592.84921150893,299989.34208094975,0.2539166666666667
170,244592.84921150893,299226.3665410519,0.25065
180,244592.84921150893,291440.2581566542,0.23903333333333332
190,244592.84921150893,300495.35258115944,0.2564
200,244592.84921150893,294483.559762208,0.24143333333333333
210,244592.84921150893,296891.1223505337,0.2494
220,244592.84921150893,298361.03275513335,0.24848333333333333
230,244592.84921150893,295160.0504927934,0.24506666666666665
240,244530.82303408982,294358.9080573227,0.2438
250,243324.2991739479,295737.4213634763,0.24741666666666667
260,243324.2991739479,299475.87048429355,0.2541
270,243324.2991739479,295625.74265682895,0.24868333333333334
280,243324.2991739479,291987.1802099086,0.24076666666666666
290,242792.18608395936,296671.78684497194,0.2498
300,242792.18608395936,296527.9556146594,0.25185
310,242792.18608395936,295884.52807721065,0.24723333333333333
320,242792.18608395936,291396.92758472724,0.23723333333333332
330,242792.18608395936,292237.9627231527,0.24225
340,242792.18608395936,295553.75475641165,0.2443
350,242792.18608395936,295625.6035806291,0.24493333333333334
360,242792.18608395936,293952.03195564606,0.24201666666666666
370,242792.18608395936,299064.26437834266,0.24831666666666666
380,242792.18608395936,293875.1837165933,0.24205
390,242234.86218264117,297901.6330241101,0.24806666666666666
400,241973.1845633545,292915.1078242032,0.24421666666666667
410,240302.40318027796,297368.0587025009,0.2479
420,240302.40318027796,293420.46231259557,0.24043333333333333
430,240302.40318027796,298786.39712570846,0.2525833333333333
440,240302.40318027796,298545.6424381429,0.2519
450,240302.40318027796,296461.4848849702,0.24838333333333334
460,240302.40318027796,297392.09869231033,0.24621666666666667
470,240302.40318027796,297902.19026774034,0.2497
480,240302.40318027796,289073.4853634134,0.23718333333333333
490,240302.40318027796,296473.7275321748,0.24703333333333333
500,240302.40318027796,295987.1021307032,0.24898333333333333
510,240302.40318027796,297044.202553726,0.24798333333333333
520,240302.40318027796,294959.0162561097,0.24908333333333332
530,240302.40318027796,291948.2758708676,0.23506666666666667
540,240302.40318027796,297943.4482882454,0.24745
550,240302.40318027796,295755.84379552957,0.24841666666666667
560,240302.40318027796,296714.77605048096,0.24455
570,240302.40318027796,296223.4899267156,0.24423333333333333
580,239185.12249608137,296972.1320172727,0.24508333333333332
590,239185.12249608137,291237.61731682083,0.24113333333333334
600,239185.12249608137,294798.55353858974,0.24595
610,239185.12249608137,296813.5863483837,0.24831666666666666
620,239185.12249608137,294234.557226163,0.24553333333333333
630,239185.12249608137,294639.59275793977,0.24558333333333332
640,239185.12249608137,294577.7979961788,0.24345
650,239185.12249608137,292297.7071939436,0.24158333333333334
660,239185.12249608137,295934.6267499008,0.24563333333333334
670,239185.12249608137,292806.1713411686,0.24185
680,239185.12249608137,293851.64984405355,0.24408333333333335
690,239185.12249608137,294975.425888194,0.24715
700,239185.12249608137,296909.65119677945,0.2462
710,239185.12249608137,293739.8277792878,0.24435
720,239185.12249608137,291732.89645208995,0.24236666666666667
730,239185.12249608137,291029.3394280132,0.24003333333333332
740,230821.48873177273,296515.14099294617,0.2518
750,230821.48873177273,294350.1551125715,0.24921666666666667
760,230821.48873177273,290511.378981944,0.2437
770,230821.48873177273,291924.4682258254,0.2441
780,230821.48873177273,289820.73966132593,0.24165
790,230821.48873177273,289337.67472534475,0.24416666666666667
800,230821.48873177273,290537.1548167911,0.2431
810,230821.48873177273,288102.0620136662,0.24058333333333334
820,230821.48873177273,293587.55082991696,0.24856666666666666
830,230821.48873177273,291651.8167241793,0.24428333333333332
840,230821.48873177273,290636.19964659074,0.24715
850,230821.48873177273,293446.87195133534,0.24715
860,230821.48873177273,291690.8615985021,0.24643333333333334
870,230821.48873177273,294065.07319501444,0.24661666666666668
880,230821.48873177273,292324.45820659824,0.24625
890,230821.48873177273,294389.6336682491,0.24645
900,230821.48873177273,287389.1402471504,0.23766666666666666
910,230821.48873177273,294140.7277444707,0.24883333333333332
920,230821.48873177273,289521.6780166945,0.24075
930,230821.48873177273,291332.35963023396,0.24395
940,230821.48873177273,293347.29714859236,0.24786666666666668
950,230821.48873177273,292873.01973527926,0.24705
960,230821.48873177273,292298.7408468208,0.24946666666666667
970,230821.48873177273,288372.11496239866,0.24053333333333332
980,230821.48873177273,290167.47483963333,0.24276666666666666
990,230821.48873177273,293774.4895915717,0.24915
