generation,best,average,unique_edges
0,304325.08777670003,331073.26029884996,0.8133333333333334
10,290698.0920653201,327767.73293916095,0.7152083333333333
20,290698.0920653201,321798.66833874886,0.6747916666666667
30,290698.0920653201,330608.83044230245,0.7254166666666667
40,290698.0920653201,326619.9432744302,0.729375
50,290698.0920653201,320456.658881052,0.7102083333333333
60,290698.0920653201,327234.9998674165,0.7339583333333334
70,290698.0920653201,324950.3312701081,0.7408333333333333
80,290698.0920653201,326219.3464459549,0.7425
90,290698.0920653201,330303.4586758196,0.7610416666666666
100,290698.0920653201,330397.07546316966,0.76
110,290698.0920653201,324907.3492738857,0.7402083333333334
120,290698.0920653201,331888.41076905566,0.749375
130,287262.5375768622,323076.76887703146,0.6935416666666666
140,287262.5375768622,325065.6126656544,0.7252083333333333
150,287262.5375768622,323672.78205735417,0.695625
160,287262.5375768622,329202.6703012294,0.713125
170,285409.4057469032,319837.5598971549,0.640625
180,285409.4057469032,331248.2292854022,0.7091666666666666
190,285409.4057469032,324093.39682002174,0.728125
200,285200.4612060173,328845.3590470908,0.7435416666666667
210,285200.4612060173,328041.366762135,0.73625
220,285200.4612060173,327272.17449897545,0.7485416666666667
230,285200.4612060173,331153.97129673936,0.7597916666666666
240,285200.4612060173,331721.8315246871,0.7404166666666666
250,285200.4612060173,328419.38546724606,0.7372916666666667
260,285200.4612060173,323590.5812156154,0.7004166666666667
270,285200.4612060173,328357.11402138893,0.7375
280,285200.4612060173,325137.7476289551,0.729375
290,285200.4612060173,334105.48855818034,0.7458333333333333
300,285171.53051968367,325722.020158831,0.7083333333333334
310,279587.84783082077,325837.94010247,0.6845833333333333
320,279587.84783082077,326777.5525006883,0.710625
330,279587.84783082077,324815.836877652,0.7366666666666667
340,279587.84783082077,327820.7243642865,0.7295833333333334
350,279587.84783082077,322693.1963677103,0.683125
360,279587.84783082077,319269.25128608115,0.65875
370,279587.84783082077,328414.22411882976,0.6754166666666667
380,279587.84783082077,326448.7924825072,0.69
390,279587.84783082077,326376.2624153587,0.7202083333333333
