generation,best,average,unique_edges
0,304489.0950278237,329158.1527674221,0.8241666666666667
10,294056.9790779404,313529.5529144362,0.5947916666666667
20,281668.95313944726,303977.6389896954,0.44458333333333333
30,275979.49082907324,307954.8131505967,0.6133333333333333
40,275979.49082907324,305343.60874964367,0.5652083333333333
50,275979.49082907324,303192.0915532079,0.5666666666666667
60,269769.3527469686,298468.32076311973,0.5847916666666667
70,269769.3527469686,299450.9563811449,0.5447916666666667
80,269769.3527469686,302839.9438604956,0.5716666666666667
90,267637.83974109136,299177.88855519897,0.5227083333333333
100,267637.83974109136,297434.9198938787,0.5125
110,263858.9757690947,292760.21196431655,0.5127083333333333
120,263858.9757690947,299903.40007381624,0.5804166666666667
130,263858.9757690947,298256.400956424,0.556875
140,263858.9757690947,293651.760210507,0.5233333333333333
150,263858.9757690947,304317.08578016044,0.5958333333333333
160,263858.9757690947,299804.4288046093,0.56875
170,258922.09629762004,295224.19829999894,0.485625
180,258922.09629762004,300985.2088740997,0.5491666666666667
190,258922.09629762004,300925.2114559394,0.5504166666666667
200,258922.09629762004,298279.8292446819,0.5195833333333333
210,258922.09629762004,296834.07558753213,0.5383333333333333
220,258922.09629762004,296384.221991274,0.5310416666666666
230,258922.09629762004,298590.3684659682,0.5010416666666667
240,258922.09629762004,295146.26425855584,0.514375
250,258457.3074964098,288883.6988364727,0.4895833333333333
260,258457.3074964098,299028.16712319024,0.561875
270,256245.62640175965,298004.0878658082,0.5820833333333333
280,256245.62640175965,292818.8559515218,0.5102083333333334
290,256245.62640175965,295202.6556633746,0.5597916666666667
300,256245.62640175965,292103.92401336605,0.5314583333333334
310,256245.62640175965,294601.86180417275,0.5535416666666667
320,256245.62640175965,293819.7050041991,0.526875
330,256245.62640175965,297911.4399267621,0.5466666666666666
340,256245.62640175965,299293.02361074433,0.5904166666666667
350,256245.62640175965,299342.6137711577,0.559375
360,256245.62640175965,293630.4341990989,0.5697916666666667
370,256245.62640175965,297433.26694534806,0.5754166666666667
380,256239.6699590856,297271.7196589365,0.5189583333333333
390,255657.68690334412,286222.8838700618,0.47
