generation,best,average,unique_edges
0,30656.16667289577,153903.62321327126,0.32625
10,29933.421065250473,76726.05269157443,0.19965
20,29728.225117637023,68332.95821200214,0.16145
30,29671.49145618495,69529.43802347196,0.17875
40,29671.49145618495,62470.61458467659,0.1508
50,29650.25592509943,63712.82356111935,0.1575
60,29570.62622147998,66445.01633557134,0.1616
70,29526.40133352381,66864.72409474416,0.16645
80,29526.40133352381,71014.96244776837,0.16575
90,29526.40133352381,61988.29059834043,0.1516
100,29526.40133352381,72627.83763575001,0.18265
110,29526.401333523805,66897.04548669819,0.1705
120,29525.994065444014,75223.87795949691,0.19675
130,29525.99406544401,76477.17879310866,0.1947
140,29525.99406544401,68461.08038513572,0.17125
150,29508.265290527044,69089.37790258414,0.16965
160,29498.366125398396,79682.95197255276,0.20065
170,29498.366125398396,65667.14300369861,0.1683
180,29498.366125398396,67872.8269528117,0.1713
190,29498.366125398396,65601.94784223646,0.1647
200,29498.366125398396,76821.22643779765,0.2018
210,29498.366125398396,47963.51387005481,0.1096
220,29498.366125398396,68574.3618785065,0.16675
230,29498.366125398396,70274.42719015926,0.1762
240,29498.366125398396,73280.268533898,0.18225
250,29498.366125398396,64670.00924989637,0.16375
260,29498.366125398396,47042.60294814266,0.10425
270,29498.366125398396,64149.66983188635,0.15405
280,29498.366125398396,74315.97778102542,0.1855
290,29498.366125398396,80596.59666277963,0.20995
300,29498.366125398396,51229.64322237878,0.1203
310,29498.366125398396,77694.05209765771,0.19585
320,29498.366125398396,63741.85989390081,0.1528
330,29498.366125398396,73848.0678830662,0.1847
340,29498.366125398396,77183.57020850352,0.1963
350,29498.366125398396,59661.074224989934,0.14925
360,29498.366125398396,45561.8729328308,0.10085
370,29498.366125398396,70440.16469950137,0.172
380,29498.366125398396,55270.050824226135,0.13225
390,29498.366125398396,87759.82875908459,0.2231
400,29498.366125398396,50508.35314060925,0.1145
410,29498.366125398396,49050.81951922259,0.10185
420,29498.366125398396,69859.51360459457,0.1746
430,29498.366125398396,72119.9331264534,0.18525
440,29498.366125398396,61131.652361633685,0.1449
450,29498.366125398396,68361.51779958847,0.17245
460,29498.366125398396,75532.47620094566,0.19885
470,29498.366125398396,74162.91391465567,0.191
480,29498.366125398396,70819.58892440904,0.17545
490,29498.366125398396,63187.28665499868,0.1565
500,29485.42330012014,76398.46067102702,0.1914
510,29485.42330012014,71504.1433117494,0.1813
520,29485.42330012014,69510.06998890228,0.1716
530,29485.42330012014,79528.41275515396,0.20455
540,29485.42330012014,63830.81768936294,0.1602
550,29485.42330012014,70955.25500625238,0.17945
560,29485.42330012014,67754.48747432024,0.17035
570,29485.42330012014,81770.52797789426,0.2064
580,29485.42330012014,75209.47379786675,0.19075
590,29485.42330012014,71470.36301523191,0.182
600,29485.42330012014,64047.165972985415,0.1576
610,29485.42330012014,73271.65757079911,0.18665
620,29485.42330012014,79623.2387106693,0.20025
630,29484.0380860728,76073.03512284045,0.1935
640,29455.58259030616,72844.63107472581,0.1854
650,29455.58259030616,73333.81554068619,0.18285
660,29455.58259030616,71642.77839562343,0.18195
670,29455.58259030616,60345.29391703309,0.14575
680,29455.58259030616,73794.49838599324,0.1843
690,29455.582590306156,70753.73296991577,0.17495
700,29455.582590306156,66499.94508068777,0.16215
710,29455.582590306156,64535.79757061703,0.1552
720,29455.582590306156,66235.85640208918,0.1675
730,29455.582590306156,77547.34498524535,0.2039
740,29455.582590306156,62735.19727163171,0.1501
750,29455.582590306156,61002.404096634564,0.1483
760,29455.582590306156,72909.3361288991,0.1827
770,29455.582590306156,66631.78231313065,0.16605
780,29455.582590306156,63149.945395244045,0.15445
790,29455.582590306156,67149.28427967211,0.1679
800,29455.582590306156,80634.89689232249,0.2083
810,29455.582590306156,70818.16841160801,0.17775
820,29455.582590306156,63980.21526740794,0.15815
830,29455.582590306156,62033.42033736863,0.1528
840,29455.582590306156,60775.63122671953,0.1447
850,29455.582590306156,56987.46136845622,0.1369
860,29455.582590306156,73104.40058852408,0.1771
870,29455.582590306156,69885.54678761041,0.1773
880,29455.582590306156,53899.326180778946,0.1271
890,29455.582590306156,59927.699159399584,0.13885
900,29455.582590306156,68864.76405173051,0.16845
910,29455.582590306156,85953.87256688916,0.2198
920,29455.582590306156,65871.16844235442,0.16445
930,29455.582590306156,65236.92207957491,0.1581
940,29455.582590306156,76723.73506303852,0.1912
950,29455.582590306156,50647.447422470424,0.11235
960,29455.582590306156,69007.07892885208,0.1759
970,29455.582590306156,67891.6252497329,0.1719
980,29455.582590306156,77935.5609131157,0.20045
990,29455.582590306156,73718.21704183903,0.18395
