generation,best,average,unique_edges
0,30398.727052856833,31520.64687598884,0.018125
10,29820.882891883404,31132.084556715352,0.0183
20,29635.55811783004,31020.180238310444,0.017975
30,29573.999877768456,31067.360647934107,0.017975
40,29529.319174729713,30948.863490508855,0.01765
50,29490.248318487516,30763.325753203266,0.0173
60,29490.248318487516,30957.812538823364,0.01805
70,29465.88902351459,30946.775052025867,0.018025
80,29465.88902351459,31008.620617192275,0.018
90,29465.88902351459,30917.231488905632,0.0178
100,29465.88902351459,30994.14818777172,0.018025
110,29465.481755434794,31034.596835666805,0.018025
120,29465.481755434794,30972.347299658988,0.017675
130,29455.582590306156,30932.504343296667,0.018225
140,29455.582590306156,30937.983034661873,0.017825
150,29455.582590306156,31030.729268580024,0.018075
160,29455.582590306156,30928.375324784905,0.017825
170,29455.582590306156,30959.707820179035,0.017975
180,29455.582590306156,30982.931325707414,0.018075
190,29455.582590306156,30973.840452405937,0.01775
200,29455.582590306156,30846.470869606957,0.0175
210,29455.582590306152,30948.76260312252,0.017875
220,29455.582590306152,31102.88013232827,0.01815
230,29455.582590306152,30958.635643430818,0.0178
240,29455.582590306152,31004.451318211202,0.017875
250,29455.582590306152,31060.09207390892,0.018475
260,29455.582590306152,31126.167366457732,0.018375
270,29455.582590306152,31051.564351454843,0.018075
280,29455.582590306152,31003.313154722764,0.018075
290,29455.582590306152,30973.957188670178,0.018025
300,29455.582590306152,30960.170454851246,0.01805
310,29455.582590306152,31034.748640982034,0.01805
320,29455.582590306152,30983.849270034894,0.018
330,29455.582590306152,30926.582733590665,0.0175
340,29455.582590306152,31041.60113420186,0.01775
350,29455.582590306152,31026.751130773235,0.0181
360,29455.582590306152,30867.683002092483,0.017675
370,29455.582590306152,30860.01618611269,0.017625
380,29455.582590306152,31045.913907860784,0.01805
390,29455.582590306152,31009.1902213532,0.0182
400,29455.582590306152,31036.50027218517,0.018175
410,29455.582590306152,30932.438385371905,0.01775
420,29455.582590306152,30918.967087902613,0.01785
430,29455.582590306152,30987.936877839078,0.018125
440,29455.582590306152,30968.268481985728,0.0179
450,29455.582590306152,31007.101393860932,0.01815
460,29455.582590306152,30963.963305998677,0.017575
470,29455.582590306152,30973.988465859376,0.0183
480,29455.582590306152,30895.733410396624,0.017925
490,29455.582590306152,30973.523063446934,0.0181
500,29455.582590306152,30851.64994414462,0.018075
510,29455.582590306152,31053.139543845617,0.0181
520,29455.582590306152,31041.07966446146,0.0181
530,29455.582590306152,30901.938055862942,0.01805
540,29455.582590306152,30989.098245785804,0.017975
550,29455.582590306152,31088.436293299623,0.018125
560,29455.582590306152,30957.675063244496,0.0184
570,29455.582590306152,30940.805844929917,0.017775
580,29455.582590306152,31105.385348050917,0.018225
590,29455.582590306152,30805.230372562102,0.017275
600,29455.582590306152,30880.94135342553,0.018
610,29455.582590306152,30984.829484038117,0.01805
620,29455.582590306152,31100.969562783615,0.0181
630,29455.582590306152,31091.452809233462,0.01785
640,29455.582590306152,31008.68042332587,0.01815
650,29455.582590306152,31018.760749699726,0.0181
660,29455.582590306152,31096.61642065593,0.01875
670,29455.582590306152,31063.321484502187,0.017575
680,29455.582590306152,31042.903269870323,0.01785
690,29455.582590306152,30903.81584294506,0.018175
700,29455.582590306152,31019.072376669697,0.018275
710,29455.582590306152,31061.5511174175,0.018225
720,29455.582590306152,30971.276739321915,0.0179
730,29455.582590306152,31084.245231820638,0.01835
740,29455.582590306152,30911.949991782545,0.0182
750,29455.582590306152,31026.757749232707,0.0182
760,29455.582590306152,31124.282799484838,0.0183
770,29455.582590306152,31005.58135914836,0.01825
780,29455.582590306152,30945.588102553345,0.0178
790,29455.582590306152,30978.025317325304,0.01795
800,29455.582590306152,30912.006382205494,0.017925
810,29455.582590306152,30947.88453025491,0.017875
820,29455.582590306152,30858.289205854308,0.017775
830,29455.582590306152,31005.761899608315,0.01825
840,29455.582590306152,30851.97111235652,0.017975
850,29455.582590306152,30871.60932303765,0.017975
860,29455.582590306152,31097.862277560518,0.01835
870,29455.582590306152,31025.579569722813,0.01805
880,29455.582590306152,31030.82232920276,0.0183
890,29455.582590306152,30797.37257135269,0.01745
900,29455.582590306152,30931.83677228901,0.018075
910,29455.582590306152,30948.48857392158,0.01815
920,29455.582590306152,31018.951315013623,0.01835
930,29455.582590306152,31052.679125482966,0.018
940,29455.582590306152,30900.08467333333,0.01805
950,29455.582590306152,30973.309709724475,0.018125
960,29455.582590306152,30955.472795660546,0.01785
970,29455.582590306152,30933.64948924189,0.01795
980,29455.582590306152,31005.03518786822,0.0184
990,29455.582590306152,31004.676407772487,0.0181
