generation,best,average,unique_edges
0,295208.15487551945,323513.2286370777,0.6135416666666667
10,271358.1451285988,297283.4185806838,0.3572916666666667
20,269642.48604763736,289343.72378877824,0.3433333333333333
30,263793.76678991376,281880.62983259995,0.34875
40,263758.0675686493,287182.13078109716,0.36125
50,254621.84838891926,280838.1069467501,0.3539583333333333
60,254621.84838891926,279589.5926512314,0.333125
70,250092.79518730595,276766.537017842,0.3385416666666667
80,250092.79518730595,280995.6174367044,0.38395833333333335
90,250092.79518730595,278605.2909143987,0.3885416666666667
100,244783.11477247206,270687.4327041935,0.35229166666666667
110,244783.11477247206,272216.7547651772,0.3179166666666667
120,244783.11477247206,271845.89596256585,0.345
130,243192.658228209,269451.7395727185,0.33270833333333333
140,240418.32606080518,267689.68431628135,0.3308333333333333
150,240418.32606080518,269719.29598779307,0.301875
160,240418.32606080518,271527.71747838025,0.3625
170,240418.32606080518,267877.95257792034,0.34208333333333335
180,236355.00144430084,270636.87177016033,0.32666666666666666
190,236355.00144430084,277776.42745010415,0.38979166666666665
200,236355.00144430084,267538.6341246281,0.3385416666666667
210,236355.00144430084,271834.9404516724,0.35791666666666666
220,236355.00144430084,265001.9906729569,0.31625
230,236355.00144430084,268327.82582199,0.353125
240,236355.00144430084,270801.5751663431,0.3645833333333333
250,236355.00144430084,269598.28644027706,0.3285416666666667
260,236355.00144430084,268935.67442094145,0.31958333333333333
270,236355.00144430084,267729.6625321146,0.37395833333333334
280,236355.00144430084,271021.8792098214,0.356875
290,236355.00144430084,269144.3345409743,0.32
300,236355.00144430084,267594.4455362238,0.34541666666666665
310,236355.00144430084,265013.19979397755,0.33791666666666664
320,235694.11116565322,269122.49629782635,0.3458333333333333
330,235694.11116565322,266171.81604604895,0.3229166666666667
340,235694.11116565322,263185.5764138061,0.27791666666666665
350,235694.11116565322,267848.6892781914,0.30291666666666667
360,235694.11116565322,267894.29117578274,0.30645833333333333
370,235694.11116565322,266611.82087746664,0.360625
380,235694.11116565322,265184.8623281264,0.30666666666666664
390,235694.11116565322,266222.8267807628,0.33708333333333335
