generation,best,average,unique_edges
0,307857.89272941684,329732.954106088,0.7039583333333334
10,290863.5648984648,310707.94854511693,0.5289583333333333
20,264073.19500585675,300488.6583508892,0.499375
30,264073.19500585675,291193.0436819897,0.4397916666666667
40,264073.19500585675,298201.1240372336,0.4558333333333333
50,264073.19500585675,291107.5279712645,0.4508333333333333
60,264073.19500585675,292859.89942544384,0.4270833333333333
70,264073.19500585675,299112.29942921037,0.506875
80,258555.12647171883,289586.60988430557,0.43104166666666666
90,258555.12647171883,291413.2448824572,0.4639583333333333
100,258555.12647171883,292130.8098427407,0.4245833333333333
110,258555.12647171883,287340.6023109651,0.4560416666666667
120,257274.85483316312,288134.1752038768,0.441875
130,257005.46003602614,287205.6001623502,0.41625
140,257005.46003602614,294346.1165155017,0.47770833333333335
150,257005.46003602614,287698.6350957453,0.44375
160,257005.46003602614,283852.3166217313,0.44125
170,256228.93254348158,292105.06651675585,0.484375
180,253166.94863294743,293609.7287886213,0.46208333333333335
190,252139.1184551764,287038.65495442535,0.455
200,252139.1184551764,292467.46812976914,0.47291666666666665
210,252139.1184551764,289554.51841393975,0.44916666666666666
220,251333.59223249467,289780.50343325693,0.424375
230,249191.88844817944,289320.8330594989,0.45979166666666665
240,249191.88844817944,291294.09830269025,0.46166666666666667
250,249191.88844817944,287857.32526320213,0.4633333333333333
260,249191.88844817944,287811.112971626,0.4377083333333333
270,249191.88844817944,285244.5180784221,0.4477083333333333
280,249191.88844817944,291733.5601511323,0.4825
290,249191.88844817944,288214.5389126355,0.45770833333333333
300,249191.88844817944,285218.18937966094,0.44583333333333336
310,249191.88844817944,290103.1816806397,0.46979166666666666
320,249191.88844817944,287586.40042905725,0.4716666666666667
330,249191.88844817944,286187.48117653525,0.47291666666666665
340,249191.88844817944,286873.93057223764,0.509375
350,249191.88844817944,291335.85649032594,0.48
360,249191.88844817944,285267.2430311322,0.44
370,249191.88844817944,284357.57148127287,0.44895833333333335
380,249191.88844817944,285312.38767139375,0.45479166666666665
390,249191.88844817944,289675.0994162997,0.4479166666666667
