generation,best,average,unique_edges
0,30589.862537178797,127914.50671811441,0.41604166666666664
10,30333.78001058343,31009.768400594825,0.09895833333333333
20,29933.728258153293,30782.301223702412,0.09229166666666666
30,29933.728258153293,30913.80309996309,0.09770833333333333
40,29933.728258153293,30917.829920696866,0.09625
50,29750.170071269044,30056.771161267872,0.07229166666666667
60,29750.170071269044,30770.418272796625,0.095
70,29750.170071269044,30683.446488091857,0.09291666666666666
80,29750.170071269044,30597.71039656251,0.09354166666666666
90,29750.170071269044,30646.468731436777,0.08770833333333333
100,29750.170071269044,30205.36845854746,0.07958333333333334
110,29750.170071269044,30072.147552777733,0.07354166666666667
120,29750.170071269044,30724.446238788427,0.09770833333333333
130,29750.170071269044,30806.64726967859,0.09479166666666666
140,29750.170071269044,30799.733177756676,0.09729166666666667
150,29750.170071269044,30784.733319550203,0.09416666666666666
160,29750.170071269044,30770.17632950218,0.09333333333333334
170,29750.170071269044,30528.188797252948,0.08916666666666667
180,29750.170071269044,30812.61381642664,0.09625
190,29750.170071269044,30851.229394850907,0.09854166666666667
200,29750.170071269044,30796.97680593676,0.09604166666666666
210,29750.170071269044,30064.67264400198,0.075
220,29750.170071269044,30867.502708444852,0.09895833333333333
230,29687.617887647055,30659.070628701258,0.09416666666666666
240,29687.617887647055,30677.627763803885,0.09354166666666666
250,29687.617887647055,30699.87387995019,0.09395833333333334
260,29687.617887647055,30635.703103538908,0.090625
270,29687.617887647055,30799.406966521634,0.09625
280,29687.617887647055,30736.116698181446,0.094375
290,29687.617887647055,30119.59849344254,0.07895833333333334
300,29687.617887647055,30682.521716713698,0.09083333333333334
310,29687.617887647055,30666.96744660343,0.09541666666666666
320,29687.617887647055,30743.038631386356,0.094375
330,29687.617887647055,30869.58184728037,0.09854166666666667
340,29687.617887647055,30787.51335642334,0.094375
350,29687.617887647055,30695.462831430883,0.094375
360,29687.617887647055,30649.425171352716,0.09416666666666666
370,29687.617887647055,30875.32278966605,0.09875
380,29687.617887647055,30655.88786256032,0.09020833333333333
390,29687.617887647055,30667.67850679299,0.09270833333333334
