generation,best,average,unique_edges
0,30004.902325502826,59934.91239355544,0.12635
10,29921.8342354474,31000.420196985,0.032
20,29684.746667004907,30747.59225280132,0.0306
30,29620.405944559356,30735.733035523415,0.0304
40,29580.23831391023,30590.37186814131,0.0299
50,29551.78281814359,30699.36007315313,0.0306
60,29551.78281814359,30614.359867053994,0.03115
70,29544.962825489732,30772.549420280782,0.03185
80,29544.962825489732,30858.169894573628,0.0314
90,29544.962825489725,30818.10958897292,0.03225
100,29544.962825489725,30782.4257772008,0.03105
110,29544.962825489725,30875.02975020198,0.032
120,29544.962825489725,30880.327976532517,0.03265
130,29544.962825489725,30699.665247834026,0.03135
140,29515.22811836447,30778.789265328902,0.0312
150,29515.22811836447,30468.830392228778,0.03025
160,29515.22811836447,30763.53688089902,0.0311
170,29515.22811836447,30679.21367206682,0.0312
180,29465.33312187027,30721.41305990584,0.0311
190,29440.97382689734,30608.99668090593,0.03105
200,29440.97382689734,30754.665171113462,0.031
210,29440.97382689734,30729.732788418,0.03085
220,29440.97382689734,30685.838410740263,0.031
230,29440.97382689734,30665.164911170054,0.03105
240,29440.97382689734,30725.811829182334,0.03145
250,29440.97382689734,30609.011473171933,0.03115
260,29440.973826897338,30799.349715660264,0.0318
270,29440.973826897334,30448.39504900674,0.0286
280,29440.973826897334,30873.274760328084,0.0316
290,29440.973826897334,30841.390334376396,0.03165
300,29440.973826897334,30793.589618919283,0.03125
310,29440.973826897334,30797.566022782266,0.03145
320,29440.973826897334,30479.804458235845,0.02935
330,29440.973826897334,30672.21792980126,0.02995
340,29440.973826897334,30493.099025488464,0.03
350,29440.973826897334,30850.091144017686,0.03255
360,29440.973826897334,30693.887658426294,0.031
370,29440.973826897334,30944.881560998707,0.03225
380,29440.973826897334,30776.85439705092,0.031
390,29440.973826897334,30682.551582899006,0.03075
400,29440.973826897334,30423.390696095732,0.0289
410,29440.973826897334,30722.76270255496,0.0312
420,29440.973826897334,30497.166547686647,0.0296
430,29440.973826897334,30676.77353998946,0.0308
440,29440.973826897334,30423.516941043996,0.0294
450,29440.973826897334,30619.25803651967,0.02995
460,29440.973826897334,30795.87190242163,0.03175
470,29504.106721425745,30935.04065637773,0.0324
480,29504.106721425745,30854.0188639556,0.0319
490,29440.973826897334,30595.02181766601,0.02965
500,29440.973826897334,30773.438416225392,0.0313
510,29440.973826897334,30803.331416701676,0.0311
520,29440.973826897334,30596.589289765383,0.03005
530,29440.973826897334,30766.192363638933,0.03065
540,29440.97382689733,30305.078424654945,0.02835
550,29440.97382689733,30896.593172263772,0.0321
560,29440.97382689733,30760.294169056626,0.0312
570,29440.97382689733,30473.82391905186,0.0291
580,29440.97382689733,30766.54734091952,0.03125
590,29440.97382689733,30737.92540361222,0.0302
600,29440.97382689733,30773.95888082054,0.0317
610,29440.97382689733,30784.634757649797,0.03075
620,29440.97382689733,30673.760298125595,0.0309
630,29440.97382689733,30742.14961159841,0.03045
640,29549.568773222705,30857.61381670942,0.03125
650,29440.973826897334,30724.264176870078,0.0307
660,29440.973826897334,30642.856057619894,0.03005
670,29440.973826897334,30746.785193188953,0.03085
680,29440.973826897334,30529.44163950491,0.02935
690,29440.973826897334,30725.78313177181,0.0303
700,29440.973826897334,30841.739725134787,0.0315
710,29440.973826897334,30660.654543140303,0.0301
720,29440.973826897334,30730.71515620708,0.03035
730,29440.973826897334,30570.78857101131,0.0303
740,29440.973826897334,30636.78372504717,0.0303
750,29440.97382689733,30870.47718166631,0.0324
760,29440.97382689733,30674.287302203462,0.03045
770,29440.97382689733,30636.405659471424,0.0303
780,29440.97382689733,30675.185719144793,0.0313
790,29440.97382689733,30621.775188766376,0.03015
800,29440.97382689733,30626.432716360752,0.0305
810,29440.97382689733,30807.504983717565,0.0313
820,29440.97382689733,30783.62135580013,0.0315
830,29440.97382689733,30714.098664237157,0.0306
840,29440.97382689733,30490.295894216797,0.0291
850,29485.09812296557,30763.039286483927,0.03025
860,29485.09812296557,30815.67211944192,0.0315
870,29485.09812296557,30716.43171203339,0.0308
880,29485.098122965566,30846.794700249942,0.031
890,29476.16858170401,30536.397793764347,0.03
900,29457.713472306546,30742.2167851101,0.03055
910,29457.713472306546,30694.915963927473,0.03075
920,29457.713472306546,30658.195178687234,0.03065
930,29457.713472306546,30736.611389697948,0.03165
940,29457.713472306546,30655.564128941944,0.03085
950,29457.713472306546,30852.930310501266,0.0316
960,29457.713472306543,30817.979885852063,0.0309
970,29457.713472306543,30737.806368199657,0.031
980,29457.713472306543,30931.035811432153,0.0319
990,29457.713472306543,30912.585200114958,0.0322
