generation,best,average,unique_edges
0,30753.364482935445,54833.05642121743,0.18979166666666666
10,30443.124467225283,31374.10533976321,0.10916666666666666
20,29995.584581727668,31473.176592236978,0.10645833333333334
30,29995.584581727668,31611.73586522377,0.10958333333333334
40,29995.584581727668,31436.221504783713,0.11083333333333334
50,29995.584581727668,31343.66180395718,0.10604166666666667
60,29995.584581727668,31336.868461308608,0.10625
70,29995.584581727668,31404.249458146645,0.10895833333333334
80,29995.584581727668,31471.823851488065,0.10833333333333334
90,29857.254152153102,31299.751793651725,0.10958333333333334
100,29857.254152153102,31469.852376367107,0.10791666666666666
110,29857.254152153102,31410.933141457495,0.10916666666666666
120,29857.254152153102,31633.054528949888,0.111875
130,29857.254152153102,31271.906239448635,0.10833333333333334
140,29857.254152153102,31387.508685816792,0.108125
150,29815.570038915524,31342.59544597586,0.10604166666666667
160,29815.570038915524,31259.070048777012,0.10583333333333333
170,29815.570038915524,31425.97892650068,0.10770833333333334
180,29815.570038915524,31503.579435436928,0.11125
190,29815.570038915524,31314.015016022593,0.10729166666666666
200,29815.570038915524,31303.34906294585,0.10583333333333333
210,29815.570038915524,31415.016083119088,0.10770833333333334
220,29797.670879060348,31275.474163048213,0.10833333333333334
230,29797.670879060348,31430.859471905034,0.10895833333333334
240,29797.670879060348,31411.824247871282,0.10875
250,29797.670879060348,31413.55892867065,0.109375
260,29797.670879060348,31368.994118576742,0.10854166666666666
270,29797.670879060348,31148.288721878533,0.105
280,29797.670879060348,31407.592220475315,0.10854166666666666
290,29797.670879060348,31560.706773309725,0.111875
300,29797.670879060348,31461.03888821024,0.108125
310,29797.670879060348,31508.597167182645,0.11083333333333334
320,29797.670879060348,31407.997718276834,0.10770833333333334
330,29797.670879060348,31339.548084730097,0.10625
340,29786.723062745194,31427.758940030053,0.106875
350,29786.723062745194,31386.233592954333,0.10875
360,29786.723062745194,31367.126209425216,0.10854166666666666
370,29786.723062745194,31338.764656147436,0.10895833333333334
380,29786.723062745194,31352.370164886448,0.111875
390,29786.723062745194,31335.758894724684,0.104375
