generation,best,average,unique_edges
0,30591.19838767832,54517.42707590946,0.18875
10,30281.218480714044,31660.87504624685,0.11166666666666666
20,30281.218480714044,31235.87351773627,0.105625
30,30268.925993498488,31417.586454533597,0.10979166666666666
40,30250.9414736926,31562.90424693518,0.10666666666666667
50,30120.646489422925,31462.640833207686,0.105625
60,30120.646489422925,31496.577813112137,0.10875
70,30120.646489422925,31340.092698071338,0.106875
80,30120.646489422925,31467.768092357335,0.110625
90,30120.646489422925,31324.192187962977,0.106875
100,30091.42784050856,31531.819245920575,0.10875
110,30041.345521740634,31150.9002340811,0.105
120,30041.345521740634,31485.48974645136,0.10645833333333334
130,30041.345521740634,31331.137933338297,0.10645833333333334
140,30041.345521740634,31398.944807519365,0.105625
150,30041.345521740634,31379.569965487262,0.10666666666666667
160,30041.345521740634,31371.379140122302,0.10604166666666667
170,30041.345521740634,31615.511271167034,0.1125
180,30041.345521740634,31546.55128700747,0.11104166666666666
190,30041.345521740634,31375.429216210785,0.10729166666666666
200,30041.345521740634,31721.211466195786,0.110625
210,30041.345521740634,31277.223994551125,0.10729166666666666
220,30041.345521740634,31253.756518214443,0.10541666666666667
230,30041.345521740634,31443.950562542774,0.10916666666666666
240,30041.345521740634,31411.045331578032,0.10770833333333334
250,30041.345521740634,31260.141919501413,0.10833333333333334
260,30041.345521740634,31412.415922667835,0.10854166666666666
270,30041.345521740634,31513.711462867184,0.113125
280,30041.345521740634,31351.38334521673,0.10729166666666666
290,30041.345521740634,31412.175770149013,0.10833333333333334
300,30041.345521740634,31431.51128346891,0.10708333333333334
310,30041.345521740634,31473.228350568912,0.10916666666666666
320,30041.345521740634,31767.14666380327,0.11104166666666666
330,30041.345521740634,31437.49042415438,0.10729166666666666
340,30041.345521740634,31477.470124076866,0.110625
350,30041.345521740634,31246.871397468585,0.10916666666666666
360,30041.345521740634,31279.31499968949,0.104375
370,30041.345521740634,31262.250867420764,0.10625
380,30041.345521740634,31196.726208711512,0.10729166666666666
390,30041.345521740634,31528.813921739948,0.1075
