generation,best,average,unique_edges
0,315311.1286928971,328524.7310859204,0.634375
10,291403.23268642154,314131.7476027886,0.45229166666666665
20,289007.43380596716,317657.3438025893,0.525
30,283541.2072109922,309537.88137011515,0.48270833333333335
40,283541.2072109922,313404.2072485246,0.5125
50,276280.65859636525,309373.21231388947,0.4895833333333333
60,276280.65859636525,310164.71512110723,0.5266666666666666
70,276280.65859636525,308119.99086547387,0.5135416666666667
80,276280.65859636525,306220.2620720652,0.475625
90,276280.65859636525,301410.5330643838,0.41
100,272235.23815965606,297904.14559524256,0.46791666666666665
110,269639.01044538966,304038.86542835255,0.48625
120,269639.01044538966,299462.6082469711,0.42104166666666665
130,258834.13341540121,296165.96459105914,0.4529166666666667
140,258446.50531351412,297099.2282890548,0.44
150,258446.50531351412,300588.16716392105,0.5116666666666667
160,258446.50531351412,301773.1784931516,0.49416666666666664
170,258446.50531351412,294279.2933643024,0.47479166666666667
180,258446.50531351412,295395.80465110793,0.40541666666666665
190,258446.50531351412,295863.95097103383,0.44895833333333335
200,257197.40485920862,300184.8685820103,0.48854166666666665
210,257197.40485920862,301420.6415276153,0.4558333333333333
220,257197.40485920862,295551.92268602696,0.4477083333333333
230,256490.27604234978,298764.0292887709,0.495
240,256490.27604234978,296342.44318087824,0.46541666666666665
250,256490.27604234978,303520.20913505607,0.498125
260,256490.27604234978,293306.38182278053,0.4554166666666667
270,256490.27604234978,290638.04961129115,0.451875
280,253243.1669539163,290317.26172121655,0.440625
290,253243.1669539163,286777.78908584785,0.38145833333333334
300,253243.1669539163,297343.0820989345,0.45208333333333334
310,253243.1669539163,295295.6391305148,0.479375
320,253243.1669539163,296629.30950343196,0.45875
330,253243.1669539163,290300.4483108404,0.40708333333333335
340,253243.1669539163,290302.5901480563,0.40625
350,253243.1669539163,297074.03163181903,0.4508333333333333
360,253243.1669539163,302425.63933722186,0.483125
370,253243.1669539163,287599.2178499205,0.4008333333333333
380,253243.1669539163,294332.91257442,0.44895833333333335
390,253243.1669539163,293753.3700723866,0.41291666666666665
