generation,best,average,unique_edges
0,308770.1038095762,331227.00352988526,0.6325
10,285085.437331719,307720.8624116991,0.444375
20,285085.437331719,303855.7087727498,0.44125
30,275559.45163922827,303238.9016550817,0.5222916666666667
40,275559.45163922827,300368.6095271511,0.44979166666666665
50,275559.45163922827,302633.80396308337,0.415625
60,275559.45163922827,303321.9430246253,0.39625
70,275559.45163922827,297543.0661876309,0.3877083333333333
80,269414.61800458294,297893.9433242586,0.41291666666666665
90,269414.61800458294,303110.55262875155,0.4947916666666667
100,267137.99915572884,299859.73587690946,0.4825
110,267017.33699058654,293558.07886726543,0.41041666666666665
120,267017.33699058654,293448.0093578482,0.444375
130,266216.6421000177,291492.52237315994,0.39125
140,266216.6421000177,294914.0269110264,0.460625
150,266216.6421000177,297580.4783857966,0.46270833333333333
160,264253.63364709576,301235.6739155957,0.4554166666666667
170,263443.2172637418,292480.3361915177,0.42104166666666665
180,263443.2172637418,300468.34356615465,0.5002083333333334
190,263443.2172637418,291256.1387268955,0.4535416666666667
200,263443.2172637418,287454.28034248005,0.3641666666666667
210,263324.9726806026,297699.2249625138,0.4483333333333333
220,256603.1243446651,290670.4060754774,0.41020833333333334
230,256603.1243446651,287127.4377359562,0.394375
240,256603.1243446651,288719.49955678155,0.4085416666666667
250,256603.1243446651,295364.45428369445,0.4666666666666667
260,256603.1243446651,288398.8170545466,0.4
270,256603.1243446651,290605.3431538535,0.4225
280,256603.1243446651,291686.44538657245,0.421875
290,256603.1243446651,286918.19088184857,0.3439583333333333
300,256603.1243446651,286825.68401542865,0.39229166666666665
310,256603.1243446651,292531.955118029,0.4245833333333333
320,256603.1243446651,294648.8774648966,0.43916666666666665
330,256603.1243446651,290744.64475545863,0.39520833333333333
340,256603.1243446651,296395.4962652105,0.4222916666666667
350,256603.1243446651,286962.5825037734,0.36666666666666664
360,256603.1243446651,289790.38638154586,0.4175
370,256603.1243446651,289810.5259610633,0.42583333333333334
380,256339.04933918413,287440.3099836328,0.42041666666666666
390,253488.1374142411,287064.22182415874,0.43375
