generation,best,average,unique_edges
0,303071.1263787464,323289.0379473648,0.68
10,291287.11158287484,310695.9395352136,0.45416666666666666
20,287801.6019691345,309414.1253060359,0.469375
30,280571.9524534702,307558.81070477894,0.4814583333333333
40,280571.9524534702,300960.8558337724,0.44666666666666666
50,280571.9524534702,303623.1766316422,0.49833333333333335
60,278901.6475470953,306137.39324553404,0.5025
70,278238.51633016864,308153.44869126094,0.5197916666666667
80,278238.51633016864,310914.1332727432,0.5291666666666667
90,278238.51633016864,306739.6228248252,0.5102083333333334
100,273464.2439718342,300071.1198820418,0.48604166666666665
110,272636.8485894603,298175.55829291523,0.435625
120,272636.8485894603,304468.6320860772,0.4691666666666667
130,272636.8485894603,299411.9875420592,0.47020833333333334
140,271846.97946931527,298587.87386802735,0.436875
150,271846.97946931527,300367.0927101626,0.4789583333333333
160,271846.97946931527,303116.46987498435,0.46458333333333335
170,271846.97946931527,302396.4987565305,0.47458333333333336
180,267349.7719150299,299516.8202728575,0.47854166666666664
190,266292.6307479092,294249.40036322974,0.45770833333333333
200,264509.09449970967,297322.1411228272,0.4947916666666667
210,264509.09449970967,298274.77583458106,0.44333333333333336
220,264509.09449970967,297347.9782045716,0.4825
230,264509.09449970967,294904.22853548406,0.46958333333333335
240,264476.4222416405,300924.13471275085,0.46375
250,264476.4222416405,300295.5901918301,0.4716666666666667
260,264476.4222416405,294681.89248577337,0.4664583333333333
270,264476.4222416405,302414.1758992241,0.44875
280,264476.4222416405,298723.3798476006,0.48854166666666665
290,263683.0998364772,300579.726661717,0.5029166666666667
300,263683.0998364772,291847.5937337103,0.45875
310,263683.0998364772,298415.29124248197,0.46270833333333333
320,263683.0998364772,299455.63136477047,0.435625
330,263683.0998364772,293490.43555616995,0.438125
340,263683.0998364772,289832.0743742432,0.451875
350,263683.0998364772,290641.4507877028,0.4664583333333333
360,261653.80962070095,293826.2437383183,0.47020833333333334
370,261653.80962070095,293099.6354529495,0.446875
380,261653.80962070095,296962.5429769636,0.453125
390,258787.58040474614,293397.37829419685,0.4708333333333333
