generation,best,average,unique_edges
0,436.01489950548927,537.7784103516713,0.1772875816993464
10,432.9410069548507,446.488280031949,0.10375816993464053
20,429.48408067125536,445.4473998636507,0.09967320261437909
30,429.48408067125536,447.8494516071635,0.10294117647058823
40,429.48408067125536,446.34327498570127,0.10947712418300654
50,429.48408067125536,448.48076856938616,0.10620915032679738
60,429.48408067125536,444.61175584015217,0.10620915032679738
70,429.48408067125536,451.0694542630077,0.10866013071895425
80,429.48408067125536,446.45417351880536,0.10702614379084967
90,429.48408067125536,449.7445705212833,0.1111111111111111
100,429.48408067125536,448.2085055336076,0.10375816993464053
110,429.48408067125536,446.1851342586154,0.1053921568627451
120,429.48408067125536,446.21277187861944,0.1053921568627451
130,429.48408067125536,446.4359201481293,0.10130718954248366
140,429.48408067125536,447.14603218038343,0.1053921568627451
150,429.48408067125536,448.2115621563089,0.10702614379084967
160,429.48408067125536,449.49454904007854,0.11029411764705882
170,429.48408067125536,450.49347592696387,0.11029411764705882
180,429.48408067125536,446.64211643738804,0.10620915032679738
190,429.48408067125536,447.4904880165534,0.1053921568627451
200,429.48408067125536,450.34300320798826,0.1111111111111111
210,429.48408067125536,448.3454466549054,0.1053921568627451
220,429.48408067125536,446.8714409605338,0.10457516339869281
230,429.48408067125536,443.95931031035684,0.09640522875816994
240,428.98164717220686,447.51608305844564,0.10457516339869281
250,428.98164717220686,448.54021094735737,0.1053921568627451
260,428.98164717220686,448.23133260863,0.10784313725490197
270,428.98164717220686,445.77818793386024,0.10049019607843138
280,428.98164717220686,447.0242163051235,0.10620915032679738
290,428.98164717220686,449.03263236885806,0.10784313725490197
300,428.98164717220686,446.79671860075615,0.1053921568627451
310,428.98164717220686,445.3848678008729,0.10375816993464053
320,428.98164717220686,445.22730076973403,0.10457516339869281
330,428.98164717220686,447.85268069345716,0.10866013071895425
340,428.98164717220686,448.89382906890154,0.11274509803921569
350,428.8717563920339,447.98123217391907,0.10375816993464053
360,428.8717563920339,447.34674743720035,0.10866013071895425
370,428.8717563920339,448.13648854644197,0.1053921568627451
380,428.8717563920339,447.9354996699163,0.10947712418300654
390,428.8717563920339,447.13873798028595,0.09967320261437909
