generation,best,average,unique_edges
0,1419.161347164752,1630.2562281535163,0.5588235294117647
10,1351.1368447995894,1500.53179259604,0.4215686274509804
20,1170.7444714609455,1362.0258445961683,0.36519607843137253
30,1142.1416912586462,1374.6764648978817,0.3946078431372549
40,1142.1416912586462,1399.2847505369907,0.3897058823529412
50,1142.1416912586462,1351.1326470449644,0.37173202614379086
60,1141.1474748206085,1361.3322664194595,0.3790849673202614
70,1141.1474748206085,1391.6369768930226,0.39052287581699346
80,1115.9171814544463,1322.4412265232465,0.38643790849673204
90,1094.6623539808493,1344.2272002280756,0.4019607843137255
100,1094.6623539808493,1346.577565968226,0.41094771241830064
110,1088.9037106959963,1337.8361193899125,0.3668300653594771
120,1069.1952995717477,1322.8554606369553,0.37173202614379086
130,1069.1952995717477,1354.3855759007224,0.3897058823529412
140,1069.1952995717477,1339.3001346825924,0.3553921568627451
150,1049.121449476734,1292.0312844439134,0.3415032679738562
160,1049.121449476734,1308.8253261757307,0.3790849673202614
170,1049.121449476734,1313.5123280778896,0.38480392156862747
180,1040.2050058594198,1290.4426614877025,0.3831699346405229
190,1040.2050058594198,1304.8327178340235,0.35866013071895425
200,1011.8396738919078,1270.7974048915962,0.37336601307189543
210,989.6891077198787,1242.0118778299855,0.3300653594771242
220,989.6891077198787,1242.3498086484317,0.3562091503267974
230,989.6891077198787,1248.1252731849613,0.3684640522875817
240,942.1654011663478,1185.4810467742711,0.33578431372549017
250,942.1654011663478,1236.0806539703187,0.3758169934640523
260,942.1654011663478,1248.8437399139923,0.3684640522875817
270,931.7052770977351,1181.3788134283575,0.33088235294117646
280,931.7052770977351,1178.5295879885791,0.33905228758169936
290,931.7052770977351,1230.0020185767787,0.3545751633986928
300,931.7052770977351,1246.291253797803,0.369281045751634
310,931.7052770977351,1196.911637717709,0.3472222222222222
320,931.7052770977351,1198.3701687465768,0.33251633986928103
330,931.7052770977351,1238.4810558557404,0.3562091503267974
340,931.7052770977351,1214.0904539917822,0.35866013071895425
350,876.7073280123767,1160.6588397949606,0.35375816993464054
360,876.7073280123767,1172.9465360753654,0.3472222222222222
370,876.7073280123767,1201.297524374001,0.34477124183006536
380,876.7073280123767,1178.5054442759435,0.3202614379084967
390,876.7073280123767,1232.771001850228,0.3627450980392157
