generation,best,average,unique_edges
0,1346.495208930863,1574.353186388641,0.5367647058823529
10,1244.0546498836354,1328.1130833359678,0.2549019607843137
20,1165.1059091577058,1268.8791558972491,0.27369281045751637
30,1150.140894125298,1220.916651165113,0.25735294117647056
40,1106.2819526654591,1174.0539404945177,0.2647058823529412
50,1083.0925505548707,1144.548292566351,0.26715686274509803
60,1083.0925505548707,1124.0284540753962,0.25245098039215685
70,1062.6116264340988,1108.461640598798,0.2589869281045752
80,1060.5074861649143,1097.367365663404,0.25245098039215685
90,1028.483649261943,1086.0524613285202,0.2581699346405229
100,1006.086132882346,1052.5660026419819,0.25245098039215685
110,1006.086132882346,1041.4700976594004,0.24509803921568626
120,1006.086132882346,1034.1810662219439,0.2369281045751634
130,930.0683352487714,1015.928490569583,0.23284313725490197
140,930.0683352487714,1007.4648916626446,0.24019607843137256
150,930.0683352487714,1003.522820666361,0.23529411764705882
160,930.0683352487714,991.9066657823095,0.21568627450980393
170,930.0683352487714,983.6204233337365,0.2238562091503268
180,915.4194466403002,970.5676085100213,0.22303921568627452
190,893.8324194397796,960.0261717074153,0.2295751633986928
200,893.8324194397796,955.7017387435479,0.22140522875816993
210,893.8324194397796,955.7017387435479,0.22140522875816993
220,893.8324194397796,948.9075576258091,0.21895424836601307
230,893.8324194397796,944.9457523271411,0.2173202614379085
240,893.8324194397796,941.5748217587922,0.2173202614379085
250,893.8324194397796,936.772727555473,0.2173202614379085
260,889.8724391212372,931.0810212347783,0.21486928104575165
270,889.4611025235668,924.8695641892704,0.21323529411764705
280,889.4611025235668,918.3982059243781,0.21895424836601307
290,875.931870047623,913.7985860360094,0.22303921568627452
300,875.931870047623,910.9607866410211,0.2246732026143791
310,875.931870047623,905.5702628944019,0.22303921568627452
320,875.931870047623,901.6782338586673,0.21405228758169934
330,875.931870047623,900.3825692979108,0.21323529411764705
340,875.931870047623,899.2052347783512,0.2042483660130719
350,875.931870047623,895.6801245317744,0.2042483660130719
360,875.931870047623,892.6305552391568,0.19852941176470587
370,872.7954490153606,889.3744469878146,0.19607843137254902
380,854.4320195940792,885.2246665078316,0.190359477124183
390,854.4320195940792,884.7717840980358,0.18627450980392157
