generation,best,average,unique_edges
0,1485.0644479405025,1622.8178313883375,0.5678104575163399
10,1229.2516572800537,1437.3954539340436,0.4256535947712418
20,1134.2157754385373,1374.7173919473546,0.3954248366013072
30,1134.2157754385373,1337.59599110002,0.3709150326797386
40,1134.2157754385373,1369.4660634578313,0.3880718954248366
50,1134.2157754385373,1345.406643963992,0.369281045751634
60,1134.2157754385373,1332.6832380484223,0.3684640522875817
70,1134.2157754385373,1378.9845887619106,0.38643790849673204
80,1093.2334214851,1359.1263543642347,0.3937908496732026
90,1093.2334214851,1306.6892858267438,0.3562091503267974
100,1093.2334214851,1354.4291507707164,0.40522875816993464
110,1093.2334214851,1352.4816119524207,0.3815359477124183
120,1093.2334214851,1317.3147747929347,0.37254901960784315
130,1093.2334214851,1343.034371465748,0.380718954248366
140,1089.2503758456755,1350.9963880839007,0.4133986928104575
150,1083.6055431425214,1331.8281223605516,0.3602941176470588
160,1083.6055431425214,1353.9443057671667,0.3888888888888889
170,1083.6055431425214,1299.0981935338111,0.3472222222222222
180,1061.6727628262277,1312.3388809641351,0.3758169934640523
190,1061.6727628262277,1310.908516777026,0.37173202614379086
200,1061.6727628262277,1348.6249019497275,0.39869281045751637
210,1061.6727628262277,1287.0312842564033,0.3349673202614379
220,1045.1825264587628,1328.5598389491647,0.380718954248366
230,1045.1825264587628,1366.6017851484685,0.4133986928104575
240,1045.1825264587628,1315.5120687115034,0.3488562091503268
250,1039.5476394535763,1309.2202751167085,0.37336601307189543
260,1039.5476394535763,1327.514066384354,0.397875816993464
270,955.5427659010011,1280.541209097233,0.37826797385620914
280,955.5427659010011,1243.9975328210676,0.3831699346405229
290,955.5427659010011,1254.4855570044483,0.3374183006535948
300,955.5427659010011,1253.8970918024663,0.35375816993464054
310,955.5427659010011,1239.0081620567382,0.33986928104575165
320,955.5427659010011,1286.273918470134,0.375
330,955.5427659010011,1273.7505828235214,0.3815359477124183
340,955.5427659010011,1221.9672284002827,0.3415032679738562
350,955.5427659010011,1281.4948998369766,0.3815359477124183
360,955.5427659010011,1202.7299122222928,0.36437908496732024
370,955.5427659010011,1254.7063835990605,0.3553921568627451
380,955.5427659010011,1261.3098588571463,0.3709150326797386
390,955.5427659010011,1234.2036986313876,0.36519607843137253
