generation,best,average,unique_edges
0,439.0372668984289,536.5327991655487,0.1772875816993464
10,431.40323787945647,444.9608826989475,0.10049019607843138
20,431.40323787945647,443.7669492744363,0.09803921568627451
30,429.5302833416998,445.7094609688013,0.10375816993464053
40,429.53028334169977,442.5751824188056,0.10130718954248366
50,429.53028334169977,441.93869680101744,0.09803921568627451
60,429.53028334169977,440.9334234053931,0.09477124183006536
70,429.53028334169977,444.6081369218138,0.10130718954248366
80,429.53028334169977,442.1887536804575,0.10294117647058823
90,429.53028334169977,442.1386969146096,0.0988562091503268
100,429.53028334169977,444.2290515190047,0.0988562091503268
110,429.53028334169977,446.4324820483771,0.10702614379084967
120,429.53028334169977,444.1942107488592,0.10375816993464053
130,429.53028334169977,443.3561319671823,0.09722222222222222
140,429.53028334169977,443.7288542854547,0.0988562091503268
150,429.53028334169977,443.1319998536554,0.10130718954248366
160,429.53028334169977,441.44554822774467,0.09803921568627451
170,429.53028334169977,442.51245866802475,0.0988562091503268
180,429.53028334169977,445.7333544892039,0.10620915032679738
190,428.8717563920339,442.68675196157216,0.10375816993464053
200,428.8717563920339,443.9875605609584,0.10375816993464053
210,428.8717563920339,441.9189680333345,0.09803921568627451
220,428.8717563920339,441.3013647488058,0.0988562091503268
230,428.87175639203383,443.1470314093295,0.09967320261437909
240,428.87175639203383,440.03275143496506,0.0915032679738562
250,428.87175639203383,442.69478487435276,0.09967320261437909
260,428.87175639203383,441.8973237273208,0.09477124183006536
270,428.87175639203383,439.9219447325183,0.0915032679738562
280,428.87175639203383,443.25100244567324,0.10294117647058823
290,428.87175639203383,440.462625860677,0.09477124183006536
300,428.87175639203383,441.73250804769305,0.09967320261437909
310,428.87175639203383,442.5559871139842,0.10130718954248366
320,428.87175639203383,442.46431337073733,0.09967320261437909
330,428.87175639203383,442.15058899932524,0.09967320261437909
340,428.87175639203383,441.7953431742764,0.09803921568627451
350,428.87175639203383,442.9466603132427,0.10049019607843138
360,428.87175639203383,443.0449831473514,0.10375816993464053
370,428.87175639203383,444.27247470481024,0.10457516339869281
380,428.87175639203383,441.8898603851473,0.10049019607843138
390,428.87175639203383,442.08100041566394,0.09803921568627451
