generation,best,average,unique_edges
0,39213.43145575521,164030.05278180976,0.25341463414634147
10,38717.96996487875,39404.92143658346,0.05770034843205575
20,38596.210004280256,39283.64655467889,0.05564459930313589
30,38181.50251093301,39245.166082922544,0.0570383275261324
40,38181.50251093301,38992.85422991132,0.05397212543554007
50,38010.22334786744,38971.637627193384,0.05529616724738676
60,37990.92353792594,38840.081325616644,0.0532404181184669
70,37943.72029301007,38843.98075436527,0.05425087108013937
80,37788.838414568345,38874.774181812456,0.054599303135888504
90,37788.838414568345,38645.03883658989,0.05153310104529617
100,37726.12098239711,38868.40480360141,0.054320557491289195
110,37726.12098239711,38675.59532242883,0.05261324041811847
120,37714.33537305356,38802.59439463547,0.05407665505226481
