generation,best,average,unique_edges
0,45152.05048348416,47145.36220302798,0.022787456445993032
100,38741.40220496571,39072.97201886192,0.024738675958188152
200,38741.40220496571,38741.40220496571,0.01
300,38741.40220496571,38741.40220496571,0.01
400,38596.58674502698,38696.82658195932,0.013031358885017422
500,38417.804011632536,38587.64760835726,0.010348432055749129
600,38415.80582166499,38415.96567686247,0.010418118466898954
700,38398.0313706626,38408.873785774114,0.010749128919860627
800,38305.27702629719,38373.690280248564,0.011602787456445994
900,38305.27702629719,38305.27702629715,0.01
