generation,best,average,unique_edges
0,39252.86464350074,248688.82113689033,0.7139953542392554
10,38591.40510020124,39127.07221259427,0.2050131293238398
20,38520.624187833324,39156.414752271594,0.22665757713477763
30,38520.624187833324,39175.81518404311,0.1861271019542492
40,38428.55561106138,38868.76879389342,0.16132656668181586
50,38345.160634254586,39020.53851365262,0.19543755996566187
60,38345.160634254586,39162.556921494564,0.24399080947331217
70,38345.160634254586,39068.012079331274,0.2151441700752411
80,38345.160634254586,39056.526960712275,0.23059006211180122
90,38287.88956146308,39090.92228245995,0.21221532091097298
100,38287.88956146308,38997.3800495846,0.19076023834772488
110,38194.712558938394,38975.201684499625,0.18608291672978858
120,38136.339706469604,38945.16329120042,0.2261589153158612
130,38125.35651297978,38760.87460470375,0.17970762005756719
140,37999.67222774359,38785.434995537646,0.19178281068524972
150,37938.28310332156,38696.40985264728,0.16618694137251924
160,37938.28310332156,38595.82075435696,0.19415618845629445
170,37873.89584826608,38491.443366196516,0.1298225016411654
180,37867.506017266525,38752.25506760306,0.21432989951017517
190,37824.869125809,38661.33388476711,0.21045422410745832
