generation,best,average,unique_edges
0,644228.7356914997,668025.7052018829,0.6461962833914053
10,634929.7938178262,644349.6228309248,0.28680313588850176
20,623640.9622243702,634750.6252740581,0.3443670150987224
30,617422.8347404172,633256.1457155555,0.40722996515679444
40,615207.6259730442,629767.4481020101,0.3908246225319396
50,614421.3862049109,620352.2985317135,0.19708188153310105
60,610801.1450923304,626338.7772764327,0.2979094076655052
70,602082.526431446,612642.0438130788,0.23751451800232287
80,600993.1722949315,617915.6902917254,0.22168989547038329
90,595622.6145414991,613582.6130873727,0.24165214866434379
100,595622.6145414991,607443.9295605632,0.18554006968641115
110,590548.126212245,609187.9431213093,0.2544279907084785
120,590548.126212245,605301.3496528857,0.2062282229965157
130,590548.126212245,608081.6255720799,0.2347560975609756
140,585590.9722185679,604562.2144708153,0.2227787456445993
150,585590.9722185679,602381.6001363143,0.21348722415795587
160,585590.9722185679,601758.9935474913,0.19693670150987225
170,584037.0065350936,591472.8742676585,0.1366869918699187
180,584037.0065350936,601082.6247460048,0.19780778164924506
190,582052.7917007332,600261.8854642864,0.22190766550522648
200,582052.7917007332,600887.0381778583,0.22386759581881532
210,582052.7917007332,599489.2211407297,0.22089140534262486
220,582017.2018174637,599888.0085835328,0.23286875725900116
230,582017.2018174637,601703.437112231,0.2538472706155633
240,582017.2018174637,591892.1723523227,0.15860917537746805
250,577896.9915894025,592709.9753303387,0.17704703832752614
260,577896.9915894025,587168.7308300439,0.1324767711962834
270,577862.0432251062,596728.9257252229,0.21581010452961671
280,577639.3692136136,594543.2286423912,0.23744192799070848
290,577628.8994069227,595474.8060714094,0.22415795586527293
300,573050.6467807686,596612.562728986,0.22764227642276422
310,573050.6467807686,595117.7714598489,0.2383130081300813
320,573050.6467807686,593453.000337566,0.24375725900116144
330,573050.6467807686,591625.5948012098,0.25232288037166084
340,573050.6467807686,590552.6128347893,0.20078397212543553
350,572416.112382065,592120.7182858706,0.23526422764227642
360,570991.6507428476,590631.480769857,0.210438443670151
370,570991.6507428476,579593.6842397047,0.12819396051103368
380,570991.6507428476,585658.2219474041,0.17813588850174217
390,570358.6293856045,584734.4822517635,0.18975029036004645
