generation,best,average,unique_edges
0,39266.5308447062,91002.14071609068,0.44466747462505685
10,38900.98957466362,39569.79889457729,0.31897313538352756
20,38773.8300846712,39542.57891696283,0.31931399282936923
30,38198.301309998766,39470.66890990634,0.3033000050497396
40,38198.301309998766,39335.518932766325,0.2888514366510126
50,38198.301309998766,39453.715838041884,0.29897616522749093
60,38198.301309998766,39030.62116456662,0.2725660253496945
70,38198.301309998766,39204.875954826326,0.28224890168156325
80,38198.301309998766,39334.8883371776,0.28123264151896166
90,38193.150290204074,39251.901092976084,0.28163030853911025
100,38121.39419814351,39237.1241196845,0.3016146543453013
110,38121.39419814351,39408.646634769924,0.3015199717214564
120,38121.39419814351,39494.597630270764,0.3005226480836235
130,38086.20060591466,39438.30853011392,0.30569863152047655
140,37998.872198211204,39084.09282877738,0.26852623339897996
150,37998.872198211204,39301.76430095478,0.2997399383931726
160,37995.20369730964,39411.93794336998,0.30208806746452577
170,37995.20369730964,39371.00214327419,0.28527874564459926
180,37720.39323710173,39200.07635810256,0.28562591526536385
190,37720.39323710173,39348.80235777591,0.29735393627228185
