generation,best,average,unique_edges
0,38914.860347440124,49374.03565477406,0.35718208147
10,38572.45789936124,39719.927182008476,0.3273060046228969
20,38492.92535820839,39715.86990206041,0.3268190228126957
30,38492.92535820839,39639.9046205361,0.3256587972235181
40,38462.04126157215,39660.66113181444,0.32345880545419403
50,38320.36665696013,39661.942134562036,0.32498341003868336
60,38320.36665696013,39657.058053104054,0.32231122595955786
70,38320.36665696013,39641.94393170934,0.32428573143296074
80,38320.36665696013,39683.30146119416,0.32577218339323405
90,38296.252377674966,39620.01188621576,0.3230712776756557
