generation,best,average,unique_edges
0,645478.7116299259,680652.1090521552,0.41784552845528455
10,642447.1442720405,677009.1821551549,0.403644018583043
20,636234.8934232799,674244.5775214753,0.3893263646922184
30,39920.4255112799,670947.4976650447,0.37812427409988386
40,39920.4255112799,668883.8544932021,0.3615127758420441
50,39062.600879329584,665739.2634835236,0.34814750290360047
60,39062.600879329584,659567.9347793477,0.33497096399535425
70,39062.600879329584,654829.2500176813,0.32737514518002325
80,39062.600879329584,649556.7385589036,0.3209959349593496
90,39062.600879329584,639391.8181360418,0.311965737514518
100,39062.600879329584,632181.111885137,0.30403600464576075
110,39062.600879329584,619408.2537421257,0.29222415795586526
120,39062.600879329584,608416.2865624139,0.28635307781649244
130,39062.600879329584,597339.7945408012,0.27982868757259
140,39062.600879329584,577528.7625330287,0.2732462253193961
150,38642.372732508884,560863.4533109375,0.26458478513356565
160,38642.372732508884,542348.3714846915,0.2587659698025552
170,38642.372732508884,520787.981238923,0.2483507549361208
180,38642.372732508884,492621.09372921806,0.23844076655052265
190,38642.372732508884,469406.90986350557,0.23141114982578398
200,38642.372732508884,448100.15437494277,0.22558943089430894
210,38642.372732508884,429090.83175780484,0.22228803716608594
220,38642.372732508884,411211.4932427278,0.216698606271777
230,38642.372732508884,394209.5033821791,0.21199477351916376
240,38642.372732508884,380832.3968306939,0.20830139372822298
250,38642.372732508884,366085.8927497,0.20636469221835074
260,38642.372732508884,356218.7024870872,0.2047590011614402
270,38642.372732508884,344812.104330485,0.20201219512195123
280,38642.372732508884,332910.44425925147,0.19958188153310105
290,38642.372732508884,323364.9167904749,0.19763937282229965
300,38642.372732508884,313153.7782830481,0.19620209059233448
310,38642.372732508884,303976.5665258945,0.19421893147502903
320,38642.372732508884,295195.4295550461,0.19133855981416956
330,38642.372732508884,286303.1637529238,0.19134146341463415
340,38642.372732508884,279735.1946260233,0.19007549361207898
350,38642.372732508884,273398.4510087684,0.1892131242740999
360,38642.372732508884,268739.9031780412,0.18811556329849013
370,38642.372732508884,263419.2687445299,0.1865766550522648
380,38642.372732508884,257945.99231538957,0.18536875725900115
390,38642.372732508884,252651.24280809562,0.18407375145180024
400,38642.372732508884,247838.6704711394,0.18198315911730545
410,38642.372732508884,242806.71762875566,0.18065911730545878
420,38642.372732508884,237943.4023599865,0.17936411149825784
430,38642.372732508884,232500.82297281106,0.17848722415795587
440,38642.372732508884,228058.7377124908,0.1772444831591173
450,38642.372732508884,224056.37707920402,0.1760075493612079
460,38642.372732508884,220188.8001897435,0.17528745644599303
470,38642.372732508884,216161.41966960023,0.17398954703832753
480,38642.372732508884,211758.62740471747,0.17284552845528456
490,38642.372732508884,210316.39330241148,0.17224157955865274
500,38642.372732508884,207130.38053803312,0.17130081300813008
510,38642.372732508884,204915.974319463,0.17054006968641114
520,38642.372732508884,202586.39287007914,0.16982868757259
530,38642.372732508884,200803.75402888472,0.1693321718931475
540,38642.372732508884,196434.40676695836,0.16799651567944252
550,38642.372732508884,194187.21609617045,0.16738385598141695
560,38642.372732508884,192085.11896694923,0.1673664343786295
570,38642.372732508884,190205.01153710255,0.16727932636469223
580,38642.372732508884,187734.49250267402,0.1664198606271777
590,38642.372732508884,185687.48435319014,0.16566492450638792
600,38642.372732508884,183254.45220184332,0.1651829268292683
610,38642.372732508884,182243.8664932311,0.16509001161440187
620,38642.372732508884,180089.96139467685,0.16452090592334495
630,38642.372732508884,177196.09647676712,0.1636904761904762
640,38642.372732508884,175137.668164771,0.16343495934959348
650,38642.372732508884,172684.77269561536,0.1622067363530778
660,38642.372732508884,170853.06693429776,0.16178281068524972
670,38642.372732508884,168467.6763461149,0.1607781649245064
680,38642.372732508884,166791.490143502,0.16053716608594656
690,38642.372732508884,165157.01485660524,0.15983739837398375
700,38642.372732508884,164088.8100983894,0.15957026713124275
710,38642.372732508884,163267.6269323952,0.15901277584204412
720,38642.372732508884,162298.76130897726,0.15856271777003483
730,38642.372732508884,160029.09734198108,0.1567973286875726
740,38642.372732508884,158631.33197372014,0.15636469221835075
750,38642.372732508884,157465.55597624666,0.15585365853658537
760,38642.372732508884,155544.77038328833,0.15452961672473867
770,38642.372732508884,154416.82746604245,0.15368176538908246
780,38642.372732508884,153280.22710682603,0.15264227642276423
790,38642.372732508884,152702.9882359984,0.15260452961672474
800,38642.372732508884,151889.19649605692,0.15216318234610918
810,38642.372732508884,151330.33145788327,0.15207897793263647
820,38642.372732508884,150188.66091552548,0.15141114982578396
830,38642.372732508884,149144.4460998322,0.15057781649245064
840,38642.372732508884,148299.67135407342,0.15020034843205574
850,38642.372732508884,147668.25669818182,0.14983159117305458
860,38642.372732508884,146894.26633024903,0.14938443670150986
870,38642.372732508884,146100.1559458684,0.1488095238095238
880,38642.372732508884,145233.2426133985,0.14801103368176538
890,38642.372732508884,144741.18451072968,0.14786585365853658
900,38642.372732508884,144057.51026319055,0.1473809523809524
910,38642.372732508884,143742.78767895213,0.14710220673635307
920,38642.372732508884,142773.9283375329,0.14626887340301975
930,38642.372732508884,141801.00020275358,0.14539779326364694
940,38642.372732508884,141634.33896594812,0.14502903600464576
950,38642.372732508884,140612.83396244686,0.1445150987224158
960,38642.372732508884,140328.15533339197,0.14453542392566782
970,38642.372732508884,140136.53767192838,0.14437282229965157
980,38642.372732508884,139840.91850196323,0.14421022067363531
990,38642.372732508884,139211.26278775829,0.1435830429732869
