generation,best,average,unique_edges
0,39141.888396911665,39883.61686598399,0.06344947735191638
10,38494.28357900574,38827.23874181196,0.04463414634146341
20,38321.107969476514,38593.00633516718,0.042020905923344946
30,38146.27837768047,38346.95967719023,0.033031358885017424
40,38050.742551755095,38219.550885701545,0.03421602787456446
50,37928.93931359823,38013.53290029915,0.029930313588850174
60,37915.002941011866,37980.69672347766,0.027282229965156793
70,37863.81949809271,37961.861842742386,0.027421602787456447
80,37801.24364658147,37909.976836976995,0.028257839721254355
90,37776.59740519737,37854.34761061016,0.026585365853658536
100,37745.49337051332,37819.18544925822,0.025331010452961673
110,37735.943365866646,37787.10500630075,0.023797909407665505
120,37665.99006313495,37743.83890648305,0.023554006968641114
