generation,best,average,unique_edges
0,38863.709184365165,165181.3130036515,0.2544947735191638
10,38790.37838532453,39829.06178252089,0.0632404181184669
20,38790.37838532453,39659.23311228696,0.0621602787456446
30,38607.34455468737,39680.85625475947,0.06282229965156795
40,38607.34455468737,39696.404280079725,0.06254355400696864
50,38607.34455468737,39718.816097160394,0.06219512195121951
60,38607.34455468737,39338.167634046054,0.05714285714285714
70,38607.34455468737,39667.504595013226,0.06097560975609756
80,38607.34455468737,39656.7924641073,0.06094076655052265
90,38607.34455468737,39628.49783201315,0.06059233449477352
100,38607.34455468737,39711.31849638363,0.060174216027874566
110,38607.34455468737,39717.99969340976,0.06163763066202091
120,38607.34455468737,39578.12497388343,0.06024390243902439
130,38607.34455468737,39604.17084092257,0.059477351916376306
140,38607.34455468737,39612.685751431585,0.060174216027874566
150,38607.34455468737,39668.57659467708,0.06121951219512195
160,38607.34455468737,39656.314669825384,0.06066202090592335
